year,ID
2012,150-1
2014,150-1
2015,150-1
2016,150-1
2017,150-1
2018,150-1
2019,150-1
2020,150-1
2021,150-1
2022,150-1
2023,150-1
1972,151-15
1973,151-15
1974,151-15
1975,151-15
1977,151-15
1982,151-15
1983,151-15
1984,151-15
1989,151-15
1990,151-15
1991,151-15
1992,151-15
1993,151-15
1994,151-15
1995,151-15
1996,151-15
1997,151-15
1998,151-15
1999,151-15
2000,151-15
2001,151-15
2002,151-15
2003,151-15
2004,151-15
2005,151-15
2006,151-15
2007,151-15
2008,151-15
2009,151-15
2010,151-15
2011,151-15
2012,151-15
2013,151-15
2014,151-15
2015,151-15
2016,151-15
2017,151-15
2018,151-15
2019,151-15
2020,151-15
2021,151-15
2022,151-15
2023,151-15
1989,151-21
1990,151-21
1991,151-21
1993,151-21
1994,151-21
1995,151-21
1996,151-21
1997,151-21
1998,151-21
1999,151-21
2000,151-21
2003,151-21
2004,151-21
2005,151-21
2006,151-21
2007,151-21
2008,151-21
2009,151-21
2010,151-21
2011,151-21
2012,151-21
2013,151-21
2014,151-21
2015,151-21
2016,151-21
2017,151-21
2018,151-21
2022,151-21
2023,151-21
1989,151-28
1990,151-28
1991,151-28
1992,151-28
1993,151-28
1994,151-28
1995,151-28
1996,151-28
1997,151-28
1998,151-28
1999,151-28
2000,151-28
2001,151-28
2002,151-28
2003,151-28
2004,151-28
2005,151-28
2006,151-28
2007,151-28
2008,151-28
2009,151-28
2011,151-28
2012,151-28
2014,151-28
2015,151-28
2016,151-28
2017,151-28
2018,151-28
2019,151-28
2020,151-28
2021,151-28
2022,151-28
2023,151-28
1975,152-4
1976,152-4
1977,152-4
1978,152-4
1979,152-4
1980,152-4
1989,152-4
1992,152-4
1993,152-4
1994,152-4
1995,152-4
1996,152-4
1997,152-4
1998,152-4
1999,152-4
2000,152-4
2001,152-4
2002,152-4
2003,152-4
2004,152-4
2005,152-4
2006,152-4
2007,152-4
2008,152-4
2009,152-4
2010,152-4
2011,152-4
2012,152-4
2013,152-4
2014,152-4
2015,152-4
2016,152-4
2017,152-4
2018,152-4
2019,152-4
2020,152-4
2021,152-4
2022,152-4
2023,152-4
1972,153-1
1973,153-1
1974,153-1
1975,153-1
1976,153-1
1978,153-1
1979,153-1
1980,153-1
1981,153-1
1982,153-1
1983,153-1
1984,153-1
1986,153-1
1987,153-1
1988,153-1
1989,153-1
1990,153-1
1991,153-1
1992,153-1
1993,153-1
1994,153-1
1995,153-1
1996,153-1
1997,153-1
1998,153-1
2000,153-1
2001,153-1
2002,153-1
2003,153-1
2004,153-1
2005,153-1
2006,153-1
2007,153-1
2008,153-1
2009,153-1
2010,153-1
2011,153-1
2012,153-1
2013,153-1
2014,153-1
2015,153-1
2016,153-1
2017,153-1
2018,153-1
2019,153-1
2020,153-1
2021,153-1
2022,153-1
2023,153-1
1993,155-27
1994,155-27
1995,155-27
1996,155-27
1997,155-27
1998,155-27
1999,155-27
2001,155-27
2002,155-27
2003,155-27
2004,155-27
2005,155-27
2006,155-27
2007,155-27
2008,155-27
2009,155-27
2010,155-27
2011,155-27
2012,155-27
2014,155-27
2015,155-27
2018,155-27
2021,155-27
2022,155-27
2023,155-27
1998,156-10
1999,156-10
2000,156-10
2001,156-10
2002,156-10
2003,156-10
2004,156-10
2005,156-10
2006,156-10
2007,156-10
2008,156-10
2010,156-10
2011,156-10
2012,156-10
2013,156-10
2014,156-10
2015,156-10
2016,156-10
2017,156-10
2018,156-10
2019,156-10
2020,156-10
2021,156-10
2022,156-10
2023,156-10
1987,156-13
1988,156-13
1989,156-13
1990,156-13
1991,156-13
1992,156-13
1993,156-13
1994,156-13
1995,156-13
1996,156-13
1997,156-13
1998,156-13
1999,156-13
2000,156-13
2001,156-13
2002,156-13
2003,156-13
2004,156-13
2005,156-13
2006,156-13
2007,156-13
2008,156-13
2009,156-13
2010,156-13
2013,156-13
2014,156-13
2015,156-13
2016,156-13
2017,156-13
2018,156-13
2019,156-13
2020,156-13
2021,156-13
2022,156-13
2023,156-13
1994,156-17
1995,156-17
1996,156-17
1997,156-17
1998,156-17
1999,156-17
2000,156-17
2002,156-17
2004,156-17
2006,156-17
2007,156-17
2008,156-17
2009,156-17
2010,156-17
2013,156-17
2014,156-17
2015,156-17
2016,156-17
2017,156-17
2018,156-17
2019,156-17
2020,156-17
1973,156-24
1976,156-24
1980,156-24
1988,156-24
1989,156-24
1992,156-24
1993,156-24
1994,156-24
1995,156-24
1996,156-24
1997,156-24
1998,156-24
1999,156-24
2000,156-24
2001,156-24
2002,156-24
2003,156-24
2004,156-24
2005,156-24
2006,156-24
2007,156-24
2008,156-24
2009,156-24
2011,156-24
2012,156-24
2013,156-24
2014,156-24
2015,156-24
2016,156-24
2017,156-24
2018,156-24
2019,156-24
2020,156-24
2021,156-24
2022,156-24
1974,156-27
1975,156-27
1977,156-27
1978,156-27
1979,156-27
1980,156-27
1982,156-27
1983,156-27
1984,156-27
1987,156-27
1988,156-27
1990,156-27
1991,156-27
1992,156-27
1993,156-27
1994,156-27
1995,156-27
1996,156-27
1997,156-27
2001,156-27
2004,156-27
2006,156-27
2008,156-27
2009,156-27
2010,156-27
2011,156-27
2012,156-27
2013,156-27
2014,156-27
2015,156-27
2016,156-27
2017,156-27
2018,156-27
2019,156-27
2020,156-27
2021,156-27
2022,156-27
1968,156-8
1969,156-8
1989,156-8
1991,156-8
1992,156-8
1994,156-8
1995,156-8
1997,156-8
1999,156-8
2000,156-8
2001,156-8
2002,156-8
2003,156-8
2004,156-8
2005,156-8
2006,156-8
2007,156-8
2008,156-8
2010,156-8
2011,156-8
2012,156-8
2013,156-8
2014,156-8
2015,156-8
2016,156-8
2017,156-8
2018,156-8
2019,156-8
2020,156-8
2021,156-8
2022,156-8
1989,157-3
1990,157-3
1991,157-3
1992,157-3
1994,157-3
1995,157-3
1997,157-3
1998,157-3
1999,157-3
2000,157-3
2001,157-3
2002,157-3
2003,157-3
2004,157-3
2005,157-3
2006,157-3
2007,157-3
2008,157-3
2009,157-3
2010,157-3
2011,157-3
2012,157-3
2013,157-3
2014,157-3
2015,157-3
2016,157-3
2017,157-3
2018,157-3
2019,157-3
2020,157-3
2021,157-3
2022,157-3
1974,159-3
1975,159-3
1977,159-3
1978,159-3
1979,159-3
1980,159-3
1983,159-3
1984,159-3
1985,159-3
1986,159-3
1989,159-3
1990,159-3
1991,159-3
1992,159-3
1993,159-3
1994,159-3
1995,159-3
1996,159-3
1997,159-3
1998,159-3
1999,159-3
2000,159-3
2001,159-3
2002,159-3
2003,159-3
2004,159-3
2005,159-3
2006,159-3
2007,159-3
2010,159-3
2011,159-3
2012,159-3
2013,159-3
2014,159-3
2015,159-3
2016,159-3
2017,159-3
2018,159-3
2019,159-3
2020,159-3
2021,159-3
2022,159-3
2023,159-3
1973,16-122
1974,16-122
1975,16-122
1977,16-122
1978,16-122
1979,16-122
1980,16-122
1981,16-122
1982,16-122
1983,16-122
1984,16-122
1985,16-122
1986,16-122
1987,16-122
1988,16-122
1989,16-122
1990,16-122
1991,16-122
1992,16-122
1993,16-122
1994,16-122
1995,16-122
1997,16-122
1998,16-122
1999,16-122
2000,16-122
2002,16-122
2003,16-122
2004,16-122
2006,16-122
2007,16-122
2008,16-122
2009,16-122
2010,16-122
2011,16-122
2012,16-122
2013,16-122
2014,16-122
2015,16-122
2016,16-122
2017,16-122
2018,16-122
2019,16-122
2020,16-122
2021,16-122
2022,16-122
2023,16-122
1982,16-127
1983,16-127
1988,16-127
1989,16-127
1990,16-127
1991,16-127
1992,16-127
2000,16-127
2001,16-127
2003,16-127
2004,16-127
2005,16-127
2006,16-127
2007,16-127
2008,16-127
2009,16-127
2010,16-127
2012,16-127
2013,16-127
2014,16-127
2015,16-127
2016,16-127
2017,16-127
2018,16-127
2019,16-127
2020,16-127
2021,16-127
2022,16-127
2023,16-127
1982,16-132
1983,16-132
1986,16-132
1987,16-132
1988,16-132
1989,16-132
1990,16-132
1991,16-132
1992,16-132
1993,16-132
1994,16-132
1995,16-132
1997,16-132
1998,16-132
1999,16-132
2000,16-132
2007,16-132
2008,16-132
2009,16-132
2010,16-132
2011,16-132
2012,16-132
2013,16-132
2014,16-132
2015,16-132
2016,16-132
2017,16-132
2018,16-132
2019,16-132
2020,16-132
1996,16-140
1997,16-140
2001,16-140
2002,16-140
2004,16-140
2005,16-140
2006,16-140
2007,16-140
2010,16-140
2011,16-140
2012,16-140
2013,16-140
2014,16-140
2015,16-140
2016,16-140
2017,16-140
2018,16-140
2019,16-140
2020,16-140
2021,16-140
2022,16-140
2023,16-140
1992,16-189
1993,16-189
1994,16-189
1995,16-189
1996,16-189
1997,16-189
1998,16-189
1999,16-189
2001,16-189
2002,16-189
2003,16-189
2004,16-189
2005,16-189
2007,16-189
2008,16-189
2009,16-189
2010,16-189
2011,16-189
2012,16-189
2013,16-189
2014,16-189
2015,16-189
2016,16-189
2017,16-189
2018,16-189
2019,16-189
2020,16-189
2021,16-189
2022,16-189
2023,16-189
1985,16-193
1986,16-193
1987,16-193
1988,16-193
1989,16-193
1995,16-193
2000,16-193
2003,16-193
2004,16-193
2005,16-193
2006,16-193
2007,16-193
2008,16-193
2009,16-193
2010,16-193
2011,16-193
2012,16-193
2013,16-193
2014,16-193
2015,16-193
2016,16-193
2017,16-193
2018,16-193
2019,16-193
2020,16-193
2021,16-193
2022,16-193
2023,16-193
1991,16-194
1992,16-194
1993,16-194
1994,16-194
1995,16-194
1996,16-194
1997,16-194
1998,16-194
2002,16-194
2003,16-194
2004,16-194
2005,16-194
2006,16-194
2007,16-194
2008,16-194
2009,16-194
2010,16-194
2011,16-194
2012,16-194
2013,16-194
2014,16-194
2015,16-194
2016,16-194
2017,16-194
2018,16-194
2019,16-194
2020,16-194
2021,16-194
2022,16-194
2023,16-194
1953,16-66
1954,16-66
1955,16-66
1956,16-66
1958,16-66
1959,16-66
1960,16-66
1961,16-66
1962,16-66
1975,16-66
1976,16-66
1977,16-66
1978,16-66
1979,16-66
1980,16-66
1985,16-66
1986,16-66
1987,16-66
1988,16-66
1989,16-66
1990,16-66
1991,16-66
1992,16-66
1993,16-66
1994,16-66
1997,16-66
1998,16-66
1999,16-66
2000,16-66
2001,16-66
2002,16-66
2003,16-66
2004,16-66
2005,16-66
2007,16-66
2008,16-66
2009,16-66
2010,16-66
2011,16-66
2012,16-66
2013,16-66
2014,16-66
2015,16-66
2016,16-66
2017,16-66
2018,16-66
2019,16-66
2020,16-66
2021,16-66
2022,16-66
2023,16-66
1985,16-75
1987,16-75
1988,16-75
1989,16-75
1990,16-75
1991,16-75
1992,16-75
1993,16-75
1994,16-75
1995,16-75
1997,16-75
1998,16-75
1999,16-75
2000,16-75
2001,16-75
2002,16-75
2003,16-75
2004,16-75
2005,16-75
2006,16-75
2007,16-75
2008,16-75
2009,16-75
2010,16-75
2012,16-75
2013,16-75
2014,16-75
2015,16-75
2016,16-75
2017,16-75
2018,16-75
2019,16-75
2020,16-75
2021,16-75
2022,16-75
2023,16-75
1974,161-7
1975,161-7
1976,161-7
1981,161-7
1983,161-7
1986,161-7
1988,161-7
1989,161-7
1990,161-7
1991,161-7
1992,161-7
1993,161-7
1997,161-7
1998,161-7
1999,161-7
2000,161-7
2002,161-7
2004,161-7
2005,161-7
2008,161-7
2011,161-7
2012,161-7
2013,161-7
2014,161-7
2015,161-7
2016,161-7
2017,161-7
2018,161-7
2019,161-7
2020,161-7
2021,161-7
2022,161-7
2023,161-7
1989,162-3
1990,162-3
1991,162-3
1992,162-3
1993,162-3
1994,162-3
1995,162-3
1996,162-3
1997,162-3
1998,162-3
2000,162-3
2001,162-3
2002,162-3
2003,162-3
2004,162-3
2005,162-3
2006,162-3
2007,162-3
2008,162-3
2009,162-3
2010,162-3
2011,162-3
2012,162-3
2013,162-3
2014,162-3
2015,162-3
2016,162-3
2017,162-3
2018,162-3
2019,162-3
2020,162-3
2021,162-3
2022,162-3
2023,162-3
1989,163-5
1990,163-5
1991,163-5
1992,163-5
1993,163-5
1994,163-5
1995,163-5
1997,163-5
1998,163-5
1999,163-5
2000,163-5
2001,163-5
2003,163-5
2004,163-5
2005,163-5
2006,163-5
2007,163-5
2008,163-5
2009,163-5
2010,163-5
2011,163-5
2012,163-5
2013,163-5
2014,163-5
2015,163-5
2016,163-5
2017,163-5
2018,163-5
2019,163-5
2020,163-5
2021,163-5
2022,163-5
2023,163-5
1964,163-6
1969,163-6
1970,163-6
1971,163-6
1972,163-6
1973,163-6
1974,163-6
1975,163-6
1976,163-6
1977,163-6
1978,163-6
1979,163-6
1980,163-6
1981,163-6
1986,163-6
1987,163-6
1988,163-6
1991,163-6
1992,163-6
1993,163-6
1994,163-6
1995,163-6
1996,163-6
1997,163-6
1998,163-6
1999,163-6
2000,163-6
2001,163-6
2002,163-6
2003,163-6
2004,163-6
2005,163-6
2006,163-6
2008,163-6
2009,163-6
2010,163-6
2011,163-6
2012,163-6
2014,163-6
2015,163-6
2016,163-6
2017,163-6
2018,163-6
2019,163-6
2020,163-6
2021,163-6
2022,163-6
2023,163-6
1970,163-7
1973,163-7
1975,163-7
1976,163-7
1982,163-7
1983,163-7
1984,163-7
1986,163-7
1987,163-7
1990,163-7
1994,163-7
1995,163-7
1996,163-7
1997,163-7
1998,163-7
1999,163-7
2000,163-7
2001,163-7
2002,163-7
2003,163-7
2004,163-7
2006,163-7
2007,163-7
2008,163-7
2009,163-7
2010,163-7
2011,163-7
2012,163-7
2013,163-7
2014,163-7
2015,163-7
2016,163-7
2017,163-7
2019,163-7
2020,163-7
2021,163-7
2023,163-7
1988,166-1
1989,166-1
1990,166-1
1991,166-1
1992,166-1
1993,166-1
1994,166-1
1995,166-1
1996,166-1
1997,166-1
1998,166-1
1999,166-1
2000,166-1
2001,166-1
2002,166-1
2003,166-1
2004,166-1
2005,166-1
2006,166-1
2007,166-1
2008,166-1
2009,166-1
2010,166-1
2011,166-1
2012,166-1
2013,166-1
2014,166-1
2015,166-1
2016,166-1
2017,166-1
2018,166-1
2019,166-1
2020,166-1
2021,166-1
2022,166-1
2023,166-1
1988,166-13
1989,166-13
1990,166-13
1991,166-13
1992,166-13
1994,166-13
1995,166-13
1996,166-13
1997,166-13
1998,166-13
1999,166-13
2000,166-13
2001,166-13
2002,166-13
2003,166-13
2004,166-13
2005,166-13
2006,166-13
2007,166-13
2008,166-13
2009,166-13
2010,166-13
2011,166-13
2012,166-13
2013,166-13
2014,166-13
2015,166-13
2016,166-13
2017,166-13
2018,166-13
2019,166-13
2020,166-13
2021,166-13
2022,166-13
1960,168-1
1964,168-1
1965,168-1
1966,168-1
1967,168-1
1968,168-1
1969,168-1
1970,168-1
1971,168-1
1972,168-1
1973,168-1
1974,168-1
1975,168-1
1976,168-1
1977,168-1
1978,168-1
1979,168-1
1981,168-1
1982,168-1
1983,168-1
1984,168-1
1989,168-1
1990,168-1
2008,168-1
2009,168-1
2010,168-1
2012,168-1
2013,168-1
2014,168-1
2015,168-1
2016,168-1
2017,168-1
2018,168-1
2019,168-1
2020,168-1
2021,168-1
2022,168-1
2023,168-1
1986,168-2
1989,168-2
1990,168-2
1991,168-2
1992,168-2
1993,168-2
1994,168-2
1997,168-2
1998,168-2
1999,168-2
2000,168-2
2001,168-2
2002,168-2
2003,168-2
2005,168-2
2006,168-2
2007,168-2
2008,168-2
2009,168-2
2010,168-2
2011,168-2
2012,168-2
2013,168-2
2014,168-2
2015,168-2
2016,168-2
2017,168-2
2018,168-2
2019,168-2
2020,168-2
2021,168-2
2022,168-2
1995,174-11
1997,174-11
2000,174-11
2002,174-11
2003,174-11
2004,174-11
2005,174-11
2006,174-11
2007,174-11
2008,174-11
2009,174-11
2011,174-11
2012,174-11
2013,174-11
2014,174-11
2015,174-11
2016,174-11
2017,174-11
2019,174-11
2020,174-11
2021,174-11
2022,174-11
2023,174-11
1982,174-3
1983,174-3
1984,174-3
1988,174-3
1989,174-3
1990,174-3
1991,174-3
1992,174-3
1993,174-3
1997,174-3
1998,174-3
1999,174-3
2000,174-3
2001,174-3
2002,174-3
2004,174-3
2005,174-3
2009,174-3
2010,174-3
2011,174-3
2012,174-3
2013,174-3
2014,174-3
2015,174-3
2016,174-3
2017,174-3
2018,174-3
2019,174-3
2020,174-3
2021,174-3
2022,174-3
2023,174-3
1980,177-4
1982,177-4
1983,177-4
1989,177-4
1990,177-4
1991,177-4
1992,177-4
1993,177-4
1994,177-4
1995,177-4
1996,177-4
1998,177-4
1999,177-4
2000,177-4
2001,177-4
2002,177-4
2004,177-4
2005,177-4
2006,177-4
2007,177-4
2008,177-4
2009,177-4
2010,177-4
2011,177-4
2012,177-4
2013,177-4
2014,177-4
2015,177-4
2016,177-4
2017,177-4
2018,177-4
2019,177-4
2020,177-4
2021,177-4
2022,177-4
2023,177-4
1979,178-1
1981,178-1
1982,178-1
1983,178-1
1984,178-1
1985,178-1
1986,178-1
1987,178-1
1988,178-1
1989,178-1
1990,178-1
1991,178-1
1992,178-1
1993,178-1
1994,178-1
1995,178-1
1996,178-1
1997,178-1
1998,178-1
1999,178-1
2000,178-1
2001,178-1
2002,178-1
2003,178-1
2004,178-1
2005,178-1
2006,178-1
2007,178-1
2008,178-1
2009,178-1
2010,178-1
2011,178-1
2012,178-1
2013,178-1
2014,178-1
2015,178-1
2016,178-1
2017,178-1
2018,178-1
2019,178-1
2020,178-1
2021,178-1
2022,178-1
2023,178-1
1985,18-10
1986,18-10
1987,18-10
1988,18-10
1989,18-10
1990,18-10
1992,18-10
1995,18-10
1996,18-10
1997,18-10
1998,18-10
1999,18-10
2000,18-10
2001,18-10
2002,18-10
2003,18-10
2004,18-10
2005,18-10
2006,18-10
2007,18-10
2008,18-10
2009,18-10
2010,18-10
2011,18-10
2012,18-10
2013,18-10
2014,18-10
2015,18-10
2016,18-10
2017,18-10
2018,18-10
2019,18-10
2020,18-10
2021,18-10
2022,18-10
2023,18-10
1982,18-11
1983,18-11
1984,18-11
1985,18-11
1986,18-11
1987,18-11
1989,18-11
1990,18-11
1991,18-11
1992,18-11
1993,18-11
1994,18-11
1995,18-11
1996,18-11
1997,18-11
1998,18-11
1999,18-11
2000,18-11
2001,18-11
2002,18-11
2003,18-11
2004,18-11
2005,18-11
2006,18-11
2007,18-11
2008,18-11
2009,18-11
2010,18-11
2011,18-11
2012,18-11
2013,18-11
2014,18-11
2015,18-11
2016,18-11
2017,18-11
2018,18-11
2019,18-11
2020,18-11
2021,18-11
2022,18-11
2023,18-11
1990,180-1
1991,180-1
1994,180-1
1995,180-1
1999,180-1
2000,180-1
2001,180-1
2002,180-1
2003,180-1
2004,180-1
2005,180-1
2006,180-1
2007,180-1
2008,180-1
2009,180-1
2010,180-1
2011,180-1
2012,180-1
2013,180-1
2014,180-1
2015,180-1
2016,180-1
2017,180-1
2018,180-1
2019,180-1
2020,180-1
2021,180-1
2022,180-1
2023,180-1
1978,185-1
1979,185-1
1980,185-1
1981,185-1
1982,185-1
1983,185-1
1984,185-1
1986,185-1
1987,185-1
1988,185-1
1989,185-1
1990,185-1
1992,185-1
1993,185-1
1996,185-1
1997,185-1
1998,185-1
1999,185-1
2000,185-1
2001,185-1
2002,185-1
2003,185-1
2004,185-1
2005,185-1
2006,185-1
2007,185-1
2010,185-1
2011,185-1
2012,185-1
2013,185-1
2014,185-1
2015,185-1
2016,185-1
2017,185-1
2018,185-1
2019,185-1
2020,185-1
2021,185-1
2022,185-1
2023,185-1
1989,189-3
1993,189-3
1995,189-3
1996,189-3
1997,189-3
1999,189-3
2000,189-3
2001,189-3
2002,189-3
2003,189-3
2004,189-3
2005,189-3
2006,189-3
2007,189-3
2008,189-3
2009,189-3
2010,189-3
2012,189-3
2013,189-3
2015,189-3
2016,189-3
2017,189-3
2018,189-3
2019,189-3
2020,189-3
2021,189-3
2022,189-3
2023,189-3
1981,19-104
1982,19-104
1983,19-104
1984,19-104
1985,19-104
1986,19-104
1987,19-104
1988,19-104
1989,19-104
1990,19-104
1991,19-104
1992,19-104
1993,19-104
1994,19-104
1995,19-104
1996,19-104
1997,19-104
1998,19-104
1999,19-104
2000,19-104
2001,19-104
2002,19-104
2003,19-104
2004,19-104
2005,19-104
2006,19-104
2007,19-104
2008,19-104
2009,19-104
2010,19-104
2011,19-104
2012,19-104
2013,19-104
2014,19-104
2015,19-104
2016,19-104
2017,19-104
2018,19-104
2019,19-104
2020,19-104
2021,19-104
2022,19-104
2023,19-104
1986,19-107
1998,19-107
1999,19-107
2000,19-107
2001,19-107
2003,19-107
2005,19-107
2006,19-107
2008,19-107
2009,19-107
2010,19-107
2011,19-107
2012,19-107
2013,19-107
2014,19-107
2015,19-107
2016,19-107
2017,19-107
2018,19-107
2019,19-107
2020,19-107
2021,19-107
2022,19-107
2023,19-107
1968,19-73
1969,19-73
1970,19-73
1971,19-73
1972,19-73
1973,19-73
1974,19-73
1975,19-73
1979,19-73
1981,19-73
1982,19-73
1983,19-73
1984,19-73
1987,19-73
1988,19-73
1989,19-73
1990,19-73
1991,19-73
1993,19-73
1994,19-73
1997,19-73
1998,19-73
1999,19-73
2000,19-73
2001,19-73
2002,19-73
2003,19-73
2004,19-73
2005,19-73
2006,19-73
2008,19-73
2009,19-73
2011,19-73
2012,19-73
2013,19-73
2014,19-73
2015,19-73
2016,19-73
2017,19-73
2018,19-73
2019,19-73
2020,19-73
2021,19-73
2022,19-73
2023,19-73
1971,19-79
1972,19-79
1973,19-79
1974,19-79
1975,19-79
1976,19-79
1977,19-79
1978,19-79
1980,19-79
1985,19-79
1986,19-79
1987,19-79
1988,19-79
1989,19-79
1990,19-79
1991,19-79
1992,19-79
1993,19-79
1994,19-79
1995,19-79
1997,19-79
1998,19-79
1999,19-79
2001,19-79
2002,19-79
2003,19-79
2004,19-79
2005,19-79
2006,19-79
2007,19-79
2008,19-79
2009,19-79
2010,19-79
2011,19-79
2012,19-79
2013,19-79
2014,19-79
2015,19-79
2016,19-79
2017,19-79
2018,19-79
2019,19-79
2020,19-79
2021,19-79
2022,19-79
2023,19-79
1972,19-80
1973,19-80
1974,19-80
1975,19-80
1976,19-80
1977,19-80
1978,19-80
1979,19-80
1980,19-80
1981,19-80
1985,19-80
1986,19-80
1987,19-80
1988,19-80
1989,19-80
1991,19-80
1992,19-80
1993,19-80
1995,19-80
1996,19-80
1997,19-80
1998,19-80
1999,19-80
2001,19-80
2002,19-80
2003,19-80
2004,19-80
2005,19-80
2006,19-80
2007,19-80
2008,19-80
2010,19-80
2011,19-80
2012,19-80
2013,19-80
2014,19-80
2015,19-80
2016,19-80
2017,19-80
2018,19-80
2019,19-80
2020,19-80
2021,19-80
2022,19-80
2023,19-80
1973,19-82
1974,19-82
1975,19-82
1976,19-82
1977,19-82
1978,19-82
1979,19-82
1980,19-82
1985,19-82
1986,19-82
1988,19-82
1989,19-82
1990,19-82
1993,19-82
1995,19-82
1997,19-82
1998,19-82
1999,19-82
2000,19-82
2001,19-82
2002,19-82
2003,19-82
2004,19-82
2005,19-82
2006,19-82
2007,19-82
2008,19-82
2009,19-82
2010,19-82
2011,19-82
2012,19-82
2013,19-82
2014,19-82
2015,19-82
2016,19-82
2017,19-82
2018,19-82
2019,19-82
2020,19-82
2021,19-82
2022,19-82
2023,19-82
1975,19-96
1976,19-96
1978,19-96
1982,19-96
1983,19-96
1984,19-96
1985,19-96
1986,19-96
1987,19-96
1988,19-96
1990,19-96
1991,19-96
1992,19-96
1993,19-96
1994,19-96
1995,19-96
1997,19-96
1998,19-96
1999,19-96
2000,19-96
2002,19-96
2003,19-96
2004,19-96
2005,19-96
2007,19-96
2008,19-96
2009,19-96
2010,19-96
2011,19-96
2012,19-96
2013,19-96
2014,19-96
2015,19-96
2016,19-96
2017,19-96
2018,19-96
2019,19-96
2020,19-96
2021,19-96
2022,19-96
2023,19-96
1989,191-2
1990,191-2
1991,191-2
1992,191-2
1993,191-2
1994,191-2
1995,191-2
1996,191-2
1997,191-2
1998,191-2
1999,191-2
2000,191-2
2001,191-2
2002,191-2
2003,191-2
2004,191-2
2005,191-2
2006,191-2
2007,191-2
2008,191-2
2009,191-2
2010,191-2
2011,191-2
2012,191-2
2013,191-2
2014,191-2
2015,191-2
2016,191-2
2017,191-2
2018,191-2
2019,191-2
2020,191-2
2021,191-2
2022,191-2
2023,191-2
1989,196-11
1990,196-11
1991,196-11
1992,196-11
1993,196-11
1994,196-11
1995,196-11
1996,196-11
1997,196-11
1999,196-11
2000,196-11
2001,196-11
2002,196-11
2004,196-11
2005,196-11
2006,196-11
2007,196-11
2008,196-11
2009,196-11
2010,196-11
2011,196-11
2012,196-11
2013,196-11
2014,196-11
2015,196-11
2016,196-11
2017,196-11
2018,196-11
2019,196-11
2020,196-11
2021,196-11
2022,196-11
2023,196-11
1978,196-12
1980,196-12
1981,196-12
1983,196-12
1985,196-12
1986,196-12
1989,196-12
1990,196-12
1991,196-12
1992,196-12
1993,196-12
1994,196-12
1995,196-12
1996,196-12
1997,196-12
1998,196-12
1999,196-12
2002,196-12
2003,196-12
2004,196-12
2005,196-12
2006,196-12
2008,196-12
2009,196-12
2010,196-12
2011,196-12
2012,196-12
2013,196-12
2014,196-12
2015,196-12
2016,196-12
2017,196-12
2018,196-12
2019,196-12
2020,196-12
2021,196-12
2022,196-12
2023,196-12
1978,196-7
1979,196-7
1980,196-7
1982,196-7
1983,196-7
1984,196-7
1985,196-7
1987,196-7
1988,196-7
1989,196-7
1990,196-7
1991,196-7
1994,196-7
1995,196-7
1996,196-7
1997,196-7
1999,196-7
2000,196-7
2001,196-7
2002,196-7
2003,196-7
2005,196-7
2006,196-7
2007,196-7
2008,196-7
2009,196-7
2010,196-7
2011,196-7
2012,196-7
2013,196-7
2014,196-7
2015,196-7
2016,196-7
2017,196-7
2019,196-7
2020,196-7
2021,196-7
2022,196-7
2023,196-7
1987,2-11
1988,2-11
1989,2-11
1990,2-11
1991,2-11
1992,2-11
1997,2-11
1998,2-11
1999,2-11
2000,2-11
2005,2-11
2006,2-11
2007,2-11
2008,2-11
2009,2-11
2010,2-11
2011,2-11
2012,2-11
2013,2-11
2014,2-11
2015,2-11
2016,2-11
2017,2-11
2018,2-11
2019,2-11
2020,2-11
2021,2-11
2022,2-11
2023,2-11
1986,2-13
1987,2-13
1988,2-13
1989,2-13
1990,2-13
1991,2-13
1992,2-13
1993,2-13
1994,2-13
1996,2-13
1997,2-13
1998,2-13
1999,2-13
2000,2-13
2001,2-13
2002,2-13
2003,2-13
2004,2-13
2005,2-13
2006,2-13
2007,2-13
2008,2-13
2009,2-13
2010,2-13
2011,2-13
2012,2-13
2013,2-13
2014,2-13
2015,2-13
2016,2-13
2017,2-13
2018,2-13
2019,2-13
2020,2-13
2021,2-13
2022,2-13
2023,2-13
2000,2-142
2001,2-142
2002,2-142
2003,2-142
2004,2-142
2005,2-142
2006,2-142
2007,2-142
2008,2-142
2009,2-142
2010,2-142
2011,2-142
2012,2-142
2014,2-142
2015,2-142
2016,2-142
2017,2-142
2018,2-142
2019,2-142
2020,2-142
2021,2-142
2022,2-142
2023,2-142
1998,2-235
1999,2-235
2000,2-235
2001,2-235
2002,2-235
2003,2-235
2004,2-235
2005,2-235
2006,2-235
2007,2-235
2009,2-235
2010,2-235
2011,2-235
2012,2-235
2013,2-235
2014,2-235
2015,2-235
2016,2-235
2017,2-235
2018,2-235
2019,2-235
2020,2-235
2021,2-235
2022,2-235
2023,2-235
1996,2-265
2000,2-265
2001,2-265
2003,2-265
2004,2-265
2005,2-265
2006,2-265
2007,2-265
2008,2-265
2009,2-265
2010,2-265
2012,2-265
2013,2-265
2014,2-265
2015,2-265
2016,2-265
2017,2-265
2018,2-265
2019,2-265
2020,2-265
2021,2-265
2022,2-265
2023,2-265
1996,2-267
2000,2-267
2001,2-267
2002,2-267
2003,2-267
