year,ID
2004,11-4
2005,11-4
2006,11-4
2007,11-4
1979,111-10
1981,111-10
1982,111-10
1983,111-10
1984,111-10
1986,111-10
1987,111-10
1988,111-10
1989,111-10
1990,111-10
1991,111-10
1992,111-10
1994,111-10
1995,111-10
1996,111-10
1998,111-10
2000,111-10
2001,111-10
2002,111-10
2003,111-10
2004,111-10
2005,111-10
2006,111-10
2007,111-10
2011,111-10
2012,111-10
2013,111-10
2014,111-10
2015,111-10
2016,111-10
2017,111-10
2018,111-10
2019,111-10
2020,111-10
2021,111-10
2022,111-10
2023,111-10
1975,111-9
1976,111-9
1977,111-9
1979,111-9
1980,111-9
1982,111-9
1983,111-9
1984,111-9
1985,111-9
1986,111-9
1987,111-9
1988,111-9
1989,111-9
1990,111-9
1991,111-9
1992,111-9
1994,111-9
1995,111-9
1996,111-9
1997,111-9
1998,111-9
2000,111-9
2001,111-9
2002,111-9
2003,111-9
2004,111-9
2006,111-9
2008,111-9
2009,111-9
2010,111-9
2011,111-9
2012,111-9
2013,111-9
2014,111-9
2015,111-9
2016,111-9
2017,111-9
2018,111-9
2019,111-9
2020,111-9
2021,111-9
2023,111-9
1990,114-1
1994,114-1
1996,114-1
1997,114-1
1998,114-1
1999,114-1
2001,114-1
2003,114-1
2006,114-1
2007,114-1
2008,114-1
2011,114-1
2012,114-1
2013,114-1
2014,114-1
2015,114-1
2016,114-1
2017,114-1
2018,114-1
2019,114-1
2020,114-1
2021,114-1
2022,114-1
2023,114-1
1986,12-113
1987,12-113
1988,12-113
1989,12-113
1990,12-113
1991,12-113
1992,12-113
1993,12-113
1994,12-113
1995,12-113
1996,12-113
1998,12-113
1999,12-113
2000,12-113
2001,12-113
2002,12-113
2003,12-113
2004,12-113
2005,12-113
2006,12-113
2007,12-113
2008,12-113
2009,12-113
2010,12-113
2011,12-113
2013,12-113
2014,12-113
2015,12-113
2016,12-113
2017,12-113
2018,12-113
2019,12-113
2020,12-113
2021,12-113
2022,12-113
2023,12-113
1974,12-13
1976,12-13
1978,12-13
1979,12-13
1980,12-13
1981,12-13
1986,12-13
1987,12-13
1988,12-13
1989,12-13
1991,12-13
1992,12-13
1993,12-13
1994,12-13
1995,12-13
1997,12-13
1998,12-13
1999,12-13
2000,12-13
2001,12-13
2003,12-13
2004,12-13
2005,12-13
2006,12-13
2007,12-13
2008,12-13
2009,12-13
2010,12-13
2011,12-13
2012,12-13
2013,12-13
2014,12-13
2015,12-13
2016,12-13
2017,12-13
2018,12-13
2019,12-13
2020,12-13
2021,12-13
2022,12-13
1963,12-150
1965,12-150
1966,12-150
1998,12-150
1999,12-150
2000,12-150
2001,12-150
2005,12-150
2011,12-150
2012,12-150
2013,12-150
2014,12-150
2015,12-150
2016,12-150
2017,12-150
2018,12-150
2019,12-150
2020,12-150
2021,12-150
2022,12-150
2023,12-150
1969,12-171
1970,12-171
1971,12-171
1972,12-171
1974,12-171
1975,12-171
1976,12-171
1977,12-171
1980,12-171
1981,12-171
1982,12-171
1983,12-171
1984,12-171
1990,12-171
1994,12-171
1995,12-171
1996,12-171
1997,12-171
1998,12-171
1999,12-171
2000,12-171
2001,12-171
2002,12-171
2003,12-171
2004,12-171
2005,12-171
2006,12-171
2007,12-171
2008,12-171
2009,12-171
2010,12-171
2012,12-171
2013,12-171
2014,12-171
2015,12-171
2016,12-171
2017,12-171
2018,12-171
2019,12-171
2020,12-171
2021,12-171
2022,12-171
2023,12-171
1972,12-178
1975,12-178
1976,12-178
1977,12-178
1978,12-178
1979,12-178
1980,12-178
1981,12-178
1982,12-178
1983,12-178
1985,12-178
1986,12-178
1987,12-178
1988,12-178
1989,12-178
1990,12-178
1991,12-178
1992,12-178
1993,12-178
1994,12-178
1995,12-178
1996,12-178
1997,12-178
1998,12-178
1999,12-178
2000,12-178
2001,12-178
2002,12-178
2003,12-178
2004,12-178
2005,12-178
2006,12-178
2007,12-178
2008,12-178
2009,12-178
2010,12-178
2012,12-178
2013,12-178
2014,12-178
2015,12-178
2016,12-178
2017,12-178
2018,12-178
2019,12-178
2020,12-178
2021,12-178
2022,12-178
2023,12-178
1980,12-193
1982,12-193
1984,12-193
1986,12-193
1987,12-193
1988,12-193
1989,12-193
1990,12-193
1991,12-193
1992,12-193
1993,12-193
1994,12-193
