Nr	version	A2_version	numdig	onezero	twozero	Navn	Areal (km2)	Dailydata_Start	Dailydata_Slutt	Dailydata_Utlatt	Dailydata_N	Findata_Start	Findata_Slutt	Findata_Utelatt	Findata_N
26.4	1	1	1	FALSE	FALSE	Fidjelandsvatn	506	1920	1969		50				
26.5	1	1	1	FALSE	FALSE	Dorgefoss	808.53	1914	1967		54				
26.6	1	1	1	FALSE	FALSE	Lindeland	963	1914	1969	1931:1961	25				
26.7	1	1	1	FALSE	FALSE	Sirdalsvatn	1528	1895	1964	1930:1958	41				
26.8	1	1	1	FALSE	FALSE	Lundevatn	1899	1897	1964		68				
26.15	1	1	2	FALSE	FALSE	Svartevatn	209	1959	1974		16				
26.20	1	1	2	TRUE	FALSE	Årdal	77.25	1971	2015		45	1971	2014	2009, 2012	42
26.21	1	1	2	FALSE	FALSE	Sandvatn	27.5	1971	2015		45	1971	2015	2012	44
26.29	1	1	2	FALSE	FALSE	Refsvatn	52.95	1979	2015		37	1979	2015	1987	36
26.64	1	1	2	FALSE	FALSE	Rekedalselv	10.11	1997	2015	2001, 2003, 2009:2011	14	1997	2015	2001, 2003, 2009:2011	14
27.15	1	1	2	FALSE	FALSE	Austrumdal	60.85	1986	2015		30	1987	2015	1988, 1989, 1992:1995	23
27.16	1	1	2	FALSE	FALSE	Bjordal	123.81	1988	2015	1997, 2002	26	1988	2015	1991, 1996, 1997, 2002, 2004	23
27.24	1	1	2	FALSE	FALSE	Helleland	184.72	1897	1920		24				
27.25	1	1	2	FALSE	FALSE	Gjedlakleiv	635.15	1983	2015	2001:2002	31	1983	2015	1992, 1993, 2001, 2002	29
27.42	1	1	2	FALSE	FALSE	Slevelandsåna	5.42	2008	2015		8	2008	2015		8
28.7	1	1	1	FALSE	FALSE	Haugland	139.35	1919	2015		97	1986	2015		30
29.7	1	1	1	FALSE	FALSE	Gramstaddalen	1	2006	2015		10	2006	2015		10
30.1	1	1	1	FALSE	FALSE	Moluf bru 1940 - 1950	128	1915	1950		36				
