regine;main;Q_median;Y_lat;X_long;Y_utm;X_utm;ln(A);ln(C_L);ln(Q_N);ln(R_L);R_G;R_G,1085;A_Glac;A_Agr;A_Bog;A_L;A_For;A_Mount;A_U;A_LE;H_10;H_20;H_30;H_40;H_50;H_60;H_70;H_80;H_90;H_MAX;H_MIN;H_F;Y_G,Lat;X_G,Long;Y_G,UTM;X_G,UTM;ln(O);C_S;ln(R_TL);R_TL,net;P_Jan;P_Feb;P_Mar;P_Apr;P_Mai;P_Jun;P_Jul;P_Aug;P_Sep;P_Oct;P_Nov;P_Dec;ln(P_N);ln(P_Med1Max);ln(P_Med2Max);ln(P_Med3Max);ln(P_Med4Max);ln(P_Med5Max);ln(P_S);T_Jan;T_Feb;T_Mar;T_Apr;T_Mai;T_Jun;T_Jul;T_Aug;T_Sep;T_Oct;T_Nov;T_Dec;T_N;W_Jan;W_Feb;W_Mar;W_Apr;W_Mai;W_Jun;W_Jul;W_Aug;W_Sep;W_Oct;W_Nov;W_Dec;ln(W_N);ln(W_Med1Max);ln(W_Med2Max);ln(W_Med3Max);ln(W_Med4Max);ln(W_Med5Max);ln(Q_N,SN);ln(A_P);ln(D);ln(D_net);ln(M_200,h) ;ln(M_200,d );ln(M_200,d,SN)
8;8;5.57;59.9080505;10.5609093;6649495;251835;3.11750733;2.211506947;2.907993359;2.625871311;25.11470345;17.27389786;0;8.853474989;0;1.355688358;70.82779991;0;4.426737494;0.287757638;103;131;158;183;208;229;262;317;379;458;21;437;59.9518189;10.56866869;6654368.246;252594.2237;10.0952866;7.17111403;10.71929492;43223.97325;61.04136343;45.78151547;57.81727257;49.0128787;65.65954537;76.7889394;96.68606073;103.2375755;105.9363637;107.2169692;92.95242403;64.6981817;6.831769179;3.662628801;3.959946985;4.133601693;4.265556658;4.28477708;4.192161442;-6.36540567;-6.28850779;-2.338352862;2.690166668;9.260122197;14.02430303;15.23416422;13.87816715;9.118308091;4.625562059;-0.87339898;-4.731612904;4.0194596;17.92023333;15.0894;42.77813333;182.9935667;119.9618667;81.79693333;103.1664333;109.4993;111.7469;108.4655;70.60166667;25.35573333;6.897074104;4.879927363;4.764069742;4.103901213;4.454240634;4.848878813;5.989095458;-0.070023989;7.601787587;7.556643226;3.63758616;4.343805422;4.304065093
2;63;47.205;61.5595512;10.0573835;6835077;237568;5.909386436;3.580040778;2.660958594;3.867234823;20.99;16.69;0;2.171081198;7.327399045;2.171081198;40.16500217;41.79331307;0;0.276836861;726;825;865;914;979;1051;1111;1172;1250;1661;245;1416;61.71685727;9.899893556;6853086.07;230837.0502;11.69024717;8.967348782;13.06217524;439406.3809;31.31619287;21.00012757;24.27373383;20.5291892;37.7333424;63.32929843;75.10195783;68.95079203;56.81599257;56.51113817;41.55892553;33.0819852;6.27325934;3.113739928;3.542269161;3.694342641;3.792571555;3.8759512;4.220805276;-11.01853251;-10.20410014;-7.504508487;-3.070217969;3.519186778;8.497064978;9.789591639;8.663192322;4.057155136;-0.065562896;-5.948805977;-9.051420769;-1.028079825;1.188073333;1.2854;4.368403333;47.20391;191.43206;76.88107333;80.15943667;73.37286;59.9706;43.48768667;6.60361;1.69592;6.376129888;4.064671473;3.953321985;3.342981582;3.677560393;4.110567271;6.25230427;1.126894542;7.152788809;7.083793525;2.944438979;4.276666119;4.189654742
86;1;24.959969;61.7626801;5.295063;6885996;-10908;3.483698603;2.004436762;4.96877109;2.149070759;98.5206202;110.8405557;0;0;0;6.138735421;18.41620626;67.52608963;0;6.813177001;79;306;498;639;733;797;865;940;1045;1350;24;1326;61.7415125;5.350639928;6883175.829;-8280.420059;10.17247974;22.67876404;11.04240265;42527.29666;239.2896875;177.8169792;200.0975;126.21125;106.6546875;129.8783333;149.5283333;182.2280208;320.3769792;318.9977083;299.0179167;291.1273958;7.840401445;4.18307538;4.576609948;4.800916846;4.923101053;5.053595002;4.093663056;-3.799747984;-3.879105347;-2.319341398;-0.267385417;4.807573925;8.133055556;9.69172043;9.648212366;6.371371528;3.869660618;-0.413010417;-2.508205645;2.444566518;127.3419667;81.37963333;109.0423333;136.2704333;382.6419;403.6195;288.0421;233.4028;326.3287333;310.1066333;205.0895;154.8021;7.922285581;4.45486397;4.376315921;3.801629288;4.083857676;4.528329154;8.408225692;0.218974139;7.558704042;7.17420282;3.044522438;5.402677382;4.8978398
109;42;449.244629;62.6487389;8.6940889;6962257;177136;7.79882666;4.186087907;3.261935314;4.839664623;12.59225249;9.312360931;0.79;1.86;1.78;2.88;17.65;69.56;0.16;0.07323784;660;857;1016;1129;1217;1291;1362;1443;1555;2283;34;2249;62.49728632;9.256647098;6942402.546;204887.9752;12.61286822;14.00946828;14.95975091;2834578.995;52.04429097;41.5194649;45.88339507;31.59604367;28.92707423;50.26547763;75.1450117;64.41440467;66.75750227;58.64184327;54.86375087;63.61927343;6.451540201;3.168731281;3.509909415;3.646659256;3.762614417;3.879923381;4.080930665;-9.623731312;-9.176712077;-7.224767687;-4.184220121;2.016461686;6.350542654;7.723520219;7.354135057;3.246730621;-0.11632159;-5.463742159;-7.936657955;-1.419563555;3.270663667;3.279270667;5.565218;34.89091167;208.8819633;161.7975133;98.84465833;71.484409;62.52436267;44.54311967;10.43833333;4.923717333;6.565890325;4.189439383;4.084407933;3.473365058;3.797530467;4.242886065;7.292183901;2.093713716;7.160924255;7.058577322;2.890371758;4.983606622;4.510859507
159;4;0.62;66.727356;13.5830793;7401697;437532;0.828551818;1.047963415;4.166665224;1.211752366;130.8788491;88.90565563;0;0;1.75;0.44;76.42;19.21;0;0.11857301;204;290;320;348;367;389;419;448;480;545;74;471;66.72529267;13.61419863;7401436.585;438900.6083;8.963110038;19.07178533;8.648878085;5492.585196;175.7611112;145.9944446;141.9966671;107.1622224;88.06888893;97.77777797;139.6644444;149.5966666;222.4811119;262.3766669;190.7944443;205.7277777;7.563928377;4.152875496;4.564174562;4.748548772;4.855928904;4.942475408;4.213399626;-3.760107513;-3.506484673;-2.299569895;0.545000006;5.256953398;9.099888887;11.22982079;10.90824373;7.254074087;3.952616494;-0.298703711;-2.671827953;2.975825304;119.616;93.467;119.25;208.9133333;267.749;116.458;148.398;161.518;236.9206667;270.2816667;166.0566667;163.0856667;7.636131563;3.962624944;3.849621749;3.281550342;3.600314297;4.036994627;7.943970357;-1.226802941;7.820326268;7.782602498;2.995732274;5.153291594;4.997212274
51;2;47.969772;60.5876045;7.1420259;6742588;70197;4.405376883;2.565899816;4.505902184;3.019406134;23.59963971;15.82098751;2.33;0;0;9.87;0;87.72;0;0.652746883;1116;1162;1191;1215;1242;1268;1292;1320;1353;1578;1040;538;60.61226594;7.231145269;6744973.904;75333.03272;10.90165158;9.626394975;11.4024743;39385.5428;115.9617646;75.08533313;93.75388283;43.10972583;53.42368603;78.12862777;98.1825096;122.5543137;166.7005491;164.0256082;129.3815685;130.8238822;7.147662689;3.704897539;4.194021316;4.403838498;4.512532315;4.627765909;4.137514269;-9.266144205;-9.438554051;-8.194574301;-5.159558177;0.352188489;5.031022222;6.96018468;6.739827954;2.977704577;-0.403883612;-5.24876732;-7.852626177;-1.958598327;1.119666667;0.0338;0.34;3.193033333;194.0126;457.1135333;263.4177667;150.2970667;157.9630333;114.2873333;18.05616667;1.3366;7.216100344;4.277494817;4.167277994;3.514595306;3.859357923;4.325845873;8.01303725;0.411480587;6.997097416;6.175777211;2.995732274;4.762173935;4.543294782
151;16;115.098625;65.6410446;13.1470852;7281157;414732;4.943069975;3.111210422;4.43627805;3.352041894;26.33311836;24.6023195;2.08;0.14;1.85;1.05;18.01;71.24;0.01;0.027083525;253;352;437;515;582;657;731;814;907;1244;159;1085;65.53937482;13.15460195;7269810.274;414699.9941;11.18760123;15.09728898;12.61017105;286964.631;160.4605785;123.3489585;124.0211341;82.49798587;62.02962963;71.24953697;95.17287007;103.9839584;168.1391901;189.4733564;148.4194681;170.1106015;7.312491634;3.956677649;4.341561744;4.518162598;4.654079386;4.735400121;4.108129014;-8.72426074;-8.03387244;-5.926072289;-2.314435181;3.020460005;7.733653546;9.785061972;9.138429644;5.056122688;1.401120078;-3.939029313;-6.982040783;0.017928099;35.29676667;28.67893;33.61543;90.56;401.1599667;306.1651667;142.2164433;113.8063933;173.2593533;171.0472533;76.39966667;50.54806667;7.391879638;3.829128545;3.743645174;3.208128642;3.465789798;3.969282962;7.52916775;0.663224021;7.66710107;7.624044276;3.091042453;5.153291594;4.663439094
6;71;1.51;60.1726494;10.4951439;6679166;250170;2.032087845;1.36516858;3.068982735;1.645201541;19.29736668;27.01631336;0;0;0;4.330708661;91.74311927;0;0;2.03693101;507;521;533;545;558;571;584;598;616;660;482;178;60.19067372;10.48750032;6681183.649;249921.0259;9.379969002;10.4588356;9.396805656;9184.628206;59.43166667;47.31666667;53.05875;47.79041667;65.47791667;72.93666667;90.585;96.53833333;98.98791667;106.7625;89.37791667;67.7175;6.797919486;3.647569059;3.978863562;4.147292737;4.237723145;4.328015835;4.006937669;-7.406733871;-7.100163177;-4.089959677;0.584888889;6.976008065;11.93665278;13.19836022;11.93689516;7.357680556;3.055349462;-2.343805556;-5.600900538;2.375356026;3.859;6.536333333;15.17933333;144.4353333;257.8463333;78.531;97.52533333;101.788;104.223;95.69166667;40.39133333;12.06766667;6.864925367;3.849309097;3.738054369;3.197559336;3.531812083;3.979681671;6.375400246;-0.440125877;7.36471781;7.093198673;3.401197382;4.304065093;4.343805422
196;5;256.238983;68.6750183;18.7460995;7622755;651952;7.235936094;4.184649252;3.363841595;4.647945395;5.892479475;1.647977999;0.43;0.01;3.99;11.15;14.98;64.9;0;6.233150824;495;540;600;661;736;825;895;978;1104;1656;301;1355;68.56614214;19.41729221;7612422.958;680246.8138;12.5058567;9.381196818;14.36176714;1386316.636;41.14784087;38.25968627;27.36200203;25.69269187;27.50956303;39.15900847;66.77977087;64.27695597;52.63255413;65.44383497;44.414139;42.93136253;6.283405183;3.069722517;3.270365124;3.469726881;3.57831164;3.653723629;4.034256826;-14.6187075;-13.81646678;-10.80400254;-5.744775379;0.460806617;6.377391207;9.4476155;8.195864877;3.421292012;-2.106658958;-8.227881333;-12.4891145;-3.325386398;2.133087333;2.913026667;1.249896667;24.975026;215.4640987;98.42977667;61.49565267;63.169566;52.70996667;42.98731467;6.326346667;3.308118667;6.354651527;3.960351936;3.835392035;3.240740326;3.581880184;4.005973432;6.981960139;1.637834672;7.125831048;6.906224792;3.044522438;4.49980967;4.276666119
111;1;22.995;62.7251358;8.7441521;6970489;180519;4.37109207;2.638301067;4.235265253;2.765249355;46.70402317;42.56122899;0.27;0.01;2.31;4.47;8.67;82.25;0;1.129308218;583;771;889;980;1055;1116;1204;1329;1460;1834;395;1439;62.69768143;8.845141296;6967062.585;185272.6919;10.7631427;25.28148803;11.58225985;90941.75145;105.6971667;84.64895833;95.603875;69.87891667;50.978875;70.45408333;104.8531667;96.09254167;131.92275;122.419375;111.373875;131.0750417;7.069022256;3.735494636;4.130103762;4.295830266;4.451581848;4.538075066;3.99198772;-8.35259543;-8.038920977;-6.245697581;-3.5707;2.444952957;6.493509722;7.89147043;7.728798387;3.7886375;0.640834677;-4.422148611;-6.804787634;-0.703887213;7.185466667;6.658666667;9.1265;47.95536667;343.7144333;339.6310667;192.3647667;116.3775;122.9661667;93.64393333;26.603;13.31023333;7.185036272;3.994916002;3.829935671;3.229794732;3.573838689;4.006481772;7.82015987;0.515704646;7.211167781;7.046882417;2.944438979;5.257495372;4.48863637
161;7;65.325;66.8969269;14.8545675;7419897;493632;5.4163226;3.326357562;3.684369299;3.813792566;14.73368342;15.15084654;0.11;0.09;2.84;2.05;12.09;71.87;0;0.014799109;561;637;666;716;795;871;922;980;1035;1411;374;1037;66.77485321;14.86851775;7406279.155;494202.2459;11.45782889;8.908625731;13.18520007;484924.8602;114.3470178;95.85739767;86.09340607;58.35868407;48.58830403;54.1360091;89.44928383;85.04108183;128.5726467;157.675161;112.4212131;132.5202924;7.05881017;3.783207288;4.123296384;4.355152848;4.465794681;4.61046753;4.155547221;-10.00983163;-9.36747046;-7.845284381;-4.361868887;0.985507918;5.885399131;8.507704676;7.908215418;3.634140843;-0.472400477;-5.625986366;-8.470556034;-1.602702521;6.3575;4.56522;1.362686667;14.36339333;242.5984067;422.1045667;217.9752067;102.8818333;118.52332;99.45867333;21.31125333;10.99324667;7.140845444;4.548756113;4.454877052;3.86321387;4.129099259;4.623474232;8.023311864;0.866248984;7.768877469;7.675426631;2.833213344;5.541263545;4.955827058
12;215;31.33;60.8917198;8.3328075;6769129;138604;4.785823686;2.918454304;3.406848053;2.834411425;13.51321214;14.41409295;0;0;4.173622705;3.338898164;8.347245409;78.46410684;0;0.340723794;1006;1118;1207;1279;1347;1399;1457;1511;1588;1814;895;919;60.91643538;8.180261714;6772647.276;130638.9099;10.98817343;12.75282409;12.25323533;177157.7192;51.77047617;33.54759083;39.9665825;25.2620725;44.4638934;65.08028003;74.53899147;77.2250422;75.50879553;77.7201678;62.09868343;54.6381229;6.524766718;3.039930076;3.483873971;3.627328067;3.787412095;3.927639924;4.175188321;-10.55862023;-10.4180924;-8.843293566;-5.318193291;0.545230867;5.467670389;7.208929241;6.639621413;2.479449122;-1.156377501;-6.334905696;-8.968021156;-2.438050234;0.209146667;0.354233333;0.87636;11.04154667;198.7041133;247.4861933;106.19168;86.41806;73.86898;46.06672667;4.558073333;0.860973333;6.654971884;4.119594527;4.037522242;3.424541831;3.766435575;4.209457397;7.229036097;0.70540553;7.467411649;7.298971998;2.772588722;4.343805422;3.912023005
