"ID","yk"
"1600189",2000
"1600189",2006
"1600193",2002
"1600194",1999
"1600194",2000
"1600194",2001
"16100006",1972
"16100006",1973
"16100006",1983
"16100007",2001
"16100007",2006
"16100007",2009
"16100007",2010
"16200003",1999
"16300005",1979
"16300005",1980
"16300005",1986
"16300005",1996
"16300005",2002
"16300006",2007
"16300006",2013
"16300007",1977
"16300007",1981
"16300007",2005
"16700002",1968
"16700002",1973
"16700002",1975
"16800001",1980
"16800001",1985
"16800001",1986
"16800001",1987
"16800001",1988
"16800001",1991
"16800001",1992
"16800001",1993
"16800001",1994
"16800001",1995
"16800001",1996
"16800001",1997
"16800001",1998
"16800001",1999
"16800001",2000
"16800001",2001
"16800001",2002
"16800001",2003
"16800001",2004
"16800001",2005
"16800001",2006
"16800001",2007
"16800001",2011
"17300008",1992
"17300008",1994
"17300008",2000
"17300008",2001
"17300008",2006
"17300008",2007
"17300008",2008
"17300008",2009
"17300008",2010
"17400003",2003
"17400011",1998
"17400011",1999
"17400011",2010
"17600001",1992
"17600001",1995
"17700004",1985
"17700004",1987
"17800001",1980
"18000001",1992
"18000001",1993
"18000001",1996
"18000001",1997
"1800004",2010
"1800004",2012
"1800004",2014
"1800010",1993
"1800010",1994
"1800011",1988
"18500001",1985
"18500001",1994
"18500001",2008
"18500001",2009
"18900003",1994
"18900003",2011
"18900003",2014
"19000002",1995
"19000002",1996
"1900073",1978
"1900073",1986
"1900073",1992
"1900073",1995
"1900073",2007
"1900079",1979
"1900079",1981
"1900079",1982
"1900079",1983
"1900079",1984
"1900080",1982
"1900080",1983
"1900080",1984
"1900080",1990
"1900080",1994
"1900080",2000
"1900080",2009
"1900082",1981
"1900082",1982
"1900082",1983
"1900082",1984
"1900082",1987
"1900082",1991
"1900082",1994
"1900107",1987
"1900107",1988
"1900107",1989
"1900107",1990
"1900107",1991
"1900107",1992
"1900107",1993
"1900107",1994
"1900107",1995
"1900107",1996
"1900107",1997
"1900107",2002
"1900107",2004
"1900107",2007
"19600007",1981
"19600007",1986
"19600007",1992
"19600007",1998
"19600012",1982
"19600012",1984
"19600012",2000
"19600012",2001
"20000004",1990
"20000004",1992
"20000004",1997
"20000004",2001
"20000004",2007
"20000004",2012
"2000002",1990
"2000002",1992
"200011",1993
"200032",1995
"200032",2003
"200036",2002
"200036",2003
"200036",2005
"200061",1999
"200061",2001
"200061",2002
"200061",2006
"200063",2005
"200102",1987
"200142",2013
"200235",2008
"200265",2002
"200265",2011
"200268",1992
"200268",1994
"200268",1995
"200268",1996
"200268",1997
"200268",1998
"200275",2001
"200275",2002
"200275",2005
"200275",2006
"200275",2012
"200275",2014
"200279",1975
"200279",1979
"200279",1980
"200279",1981
"200279",1984
"200279",1997
"200279",1998
"200280",1996
"200280",1998
"200280",2002
"200280",2003
"200280",2004
"200287",1970
"200287",1972
"200291",2010
"200323",1982
"200323",1983
"200323",1984
"200323",2007
"200329",1983
"200329",1996
"200415",1993
"200415",1994
"200415",1996
"200415",2000
"200415",2001
"200415",2002
"200415",2003
"200415",2004
"200415",2005
"200415",2006
"200415",2007
"200439",1989
"200439",1994
"200439",1995
"200439",1996
"200439",1997
"200451",2003
"200451",2010
"200457",2003
"200457",2004
"200457",2005
"200457",2006
"200457",2012
"200463",1988
"200463",1992
"200463",2013
"200464",1991
"200464",1995
"200464",1996
"200465",2008
"200578",2006
"200578",2007
"200578",2010
"200578",2011
"200578",2012
"200578",2013
"200607",1990
"200607",1996
"200607",1997
"200607",1998
"200607",2012
"200614",1998
"200614",2004
"200616",1988
"200616",1993
"200616",2003
"200633",2010
"200633",2012
"201036",2009
"20300002",2011
"20600003",1978
"20600003",1981
"20600003",1993
"20600003",1995
"20600003",1996
"20600003",2004
"20800002",1986
"20800002",2011
"20900003",2006
"2100047",2009
"2100047",2012
"2100047",2013
"21200007",1986
"21200010",1994
"21200010",1996
"21200010",1998
"21200010",2002
"21200010",2003
"21200010",2010
"21200011",1979
"21200011",1980
"21200011",1981
"21200011",1982
"21200011",1983
"21200011",1984
"21200011",1985
"21200049",2002
"21300002",1993
"21300002",1997
"21300002",2005
"21300002",2010
"21300003",1986
"21300004",1992
"2200016",2007
"2200022",1979
"2200022",1992
"22800002",1988
"22800002",1994
"23400004",1976
"23400004",1977
"23400004",1983
"23700001",1985
"23700001",1986
"23700001",1987
"23700001",1988
"23700001",1990
"23700001",1992
"23700001",1996
"23700001",2007
"23700001",2011
"24400002",2011
"24600009",2005
"2500024",1994
"2500024",1999
"2500030",1997
"2600020",2009
"2600020",2012
"2600021",2012
"2600029",1987
"2600064",2001
"2600064",2003
"2600064",2009
"2600064",2010
"2600064",2011
"2700015",1988
"2700015",1989
"2700015",1992
"2700015",1993
"2700015",1994
"2700015",1995
"2700016",1991
"2700016",1996
"2700016",1997
"2700016",2002
"2700016",2004
"2700025",1992
"2700025",1993
"2700025",2001
"2700025",2002
"300022",1984
"300022",1987
"30700014",1971
"30700014",1972
"30700014",1979
"30700014",1982
"30700014",1984
"30700014",1985
"30700014",1986
"30700014",1987
"30700014",1988
"30800001",2008
"31100004",1997
"31100004",1998
"31100004",2003
"31100460",1995
"31100460",1996
"31100460",2008
"31100460",2014
"3300010",2001
"3300010",2002
"3300010",2003
"3300010",2004
"3300010",2005
"3300010",2009
"3500009",1985
"3500009",1986
"3500009",1987
"3500009",1988
"3500009",1989
"3500009",2010
"3600012",1995
"3600012",1997
"3600012",1998
"3600012",2001
"3600012",2002
"3600013",1986
"3600032",1994
"3700027",2005
"3700027",2006
"3700027",2007
"3700027",2011
"3800001",2002
"3900001",2002
"3900001",2003
"3900001",2010
"3900002",2011
"4200002",2005
"4200016",2001
"4200016",2007
"4600009",1992
"4600009",1995
"4600009",1997
"4600009",2003
"4600009",2004
"4600009",2005
"4600009",2007
"4600009",2011
"4800001",2007
"4800004",1976
"4800005",1978
"4800005",1984
"4800005",1988
"4800005",1996
"4800005",1997
"5000001",1978
"5000001",1984
"5100003",1974
"5100003",1975
"5500004",1992
"5500005",1997
"5500005",1998
"5500005",1999
"5500005",2000
"5500005",2001
"600071",2008
"600071",2009
"6100008",1997
"6100008",1999
"6100008",2010
"6100008",2012
"6200010",1986
"6200010",1987
"6200010",2011
"6200014",1986
"6200014",1994
"6200014",1997
"6200014",1998
"6200018",1989
"6200018",1990
"6200018",1994
"6200018",1998
"6200018",1999
"6200018",2004
"6200018",2009
"6200018",2011
"6300012",1997
"6300012",1998
"6300012",2004
"6300012",2006
"6300012",2009
"6300012",2010
"6400006",2007
"6800002",2005
"7000008",1989
"7100001",2006
"7100005",1975
"7100005",1977
"7100005",2005
"7200005",1998
"7200005",2009
"7300021",1972
"7300021",1973
"7300021",1974
"7300021",1975
"7300021",1976
"7300021",1977
"7300021",1978
"7300021",1979
"7300021",1980
"7300021",1981
"7300021",1982
"7300021",1983
"7300021",1984
"7300021",1985
"7300021",1986
"7300021",1987
"7300021",1988
"7300021",1989
"7300021",1990
"7300021",1991
"7300021",1992
"7300021",1993
"7300021",1997
"7300021",1998
"7300027",1970
"7300027",1971
"7300027",1972
"7300027",1973
"7300027",1974
"7300027",1975
"7300027",1976
"7300027",1977
"7300027",1978
"7300027",1979
"7300027",1982
"7300027",1983
"7300027",1984
"7300027",1985
"7300027",1986
"7300027",1987
"7300027",1988
"7300027",1989
"7300027",1990
"7300027",1991
"7300027",1993
"7400018",1985
"7400018",1987
"7400018",1988
"7400018",1989
"7400018",1990
"7400018",1993
"7400018",2006
"7500020",1969
"7500022",1994
"7500022",2005
"7500022",2013
"7500028",1977
"7500028",2000
"7600011",1991
"7600011",2001
"7600011",2006
"7700020",2009
"8000004",1989
"8000004",2001
"8000004",2003
"8000004",2008
"800002",1987
"800002",1989
"800002",2007
"800006",1973
"800006",1974
"800006",1984
"800006",1985
"800006",1986
"800006",1987
"800006",1988
"800006",2001
"800008",1988
"800008",1989
"800008",2000
"8300007",1968
"8300007",1976
"8300007",1995
"8300007",2003
"8300012",1999
"8400007",1999
"8400007",2002
"8400007",2003
"8400019",2002
"8400020",2002
"8400030",2002
"8500004",1984
"8500004",1995
"8500004",1997
"8600010",1985
"8600010",1995
"8600010",1998
"8600010",1999
"8600010",2002
"8600010",2003
"8600010",2004
"8600010",2008
"8600012",1989
"8600012",1996
"8800011",1990
"8800011",1994
"8800011",1996
"8800011",2001
"8800011",2002
"8800011",2003
"8800011",2004
"8800011",2005
"8800011",2006
"8800015",1989
"8800015",1990
"8800015",1991
"8800015",1992
"8800015",1993
"8800015",1994
"8800015",1995
"8800015",1996
"8800015",1997
"8800015",2002
"8900001",1996
"9100002",2009
"9600003",1987
"9600003",1992
"9600003",1996
"9600003",2002
"9600003",2009
"9600003",2010
"9800004",1999
"9800004",2002
"9900017",1995
"9900017",1996
"9900017",2007
"9900017",2013
"1500021",1993
"1500021",1994
"1500021",1995
"1500021",1996
"1500021",1997
"1500021",1998
"1500021",1999
"1500021",2000
"1500021",2001
"1500021",2002
"1500021",2003
"1500021",2004
"1500021",2005
"1500021",2006
"1500021",2007
"1500021",2008
"1500021",2009
"1500021",2010
"1500021",2011
"1500021",2012
"1500021",2013
"1500021",2014
"1500021",2015
"1500021",2016
"1500021",2017
"1500021",2018
"1500021",2019
"1500021",2020
"1500021",2021
"1500021",2022
"1500021",2023
"1500021",2024
"15600015",1963
"15600015",1964
"15600015",1965
"15600015",1966
"15600015",1967
"15600015",1968
"15600015",1969
"15600015",1970
"15600015",1971
"15600015",1972
"15600015",1973
"15600015",1974
"15600015",1975
"15600015",1976
"15600015",1977
"15600015",1978
"15600015",1989
"15600015",1990
"15600015",1991
"15600015",1992
"15600015",1993
"15600015",1994
"15600015",1995
"15600015",1996
"15600015",1997
"15600015",1998
"15600015",1999
"15600015",2000
"15600015",2001
"15600015",2002
"15600015",2003
"15600015",2004
"15600015",2005
"15600015",2008
"15600015",2009
"15600015",2010
"15600015",2011
"15600015",2012
"15600015",2013
"15600015",2014
"15600015",2015
"15600015",2016
"15600015",2017
"15600015",2018
"15600015",2019
"15600015",2020
"15600015",2021
"15600015",2022
"15600015",2023
"15900004",1970
"15900004",1971
"15900004",1972
"15900004",1973
"15900004",1974
"15900004",1975
"15900004",1976
"15900004",1977
"15900004",1978
"15900004",1979
"15900004",1980
"1600108",1965
"1600108",1966
"1600108",1967
"1600108",1968
"1600108",1969
"1600108",1970
"1600108",1971
"1600108",1972
"1600108",1973
"1600108",1974
"1600108",1975
"1600108",1977
"1600108",1978
"1600108",1979
"1600108",1980
"1600108",1981
"1600108",1983
"17300008",1981
"17300008",1982
"17300008",1983
"17300008",1984
"17300008",1985
"17300008",1986
"17300008",1987
"17300008",1988
"17300008",1989
"17300008",1990
"17300008",1991
"17300008",1993
"17300008",1995
"17300008",1996
"17300008",1997
"17300008",1998
"17300008",1999
"17300008",2002
"17300008",2003
"17300008",2004
"17300008",2005
"17300008",2011
"17300008",2012
"17300008",2013
"17300008",2014
"17300008",2015
"17300008",2016
"17300008",2017
"17300008",2018
"17300008",2019
"17300008",2020
"17300008",2021
"17300008",2022
"17300008",2023
"17300008",2024
"200284",1955
"200284",1956
"200284",1957
"200284",1958
"200284",1959
"200284",1960
"200284",1961
"200284",1962
"200284",1963
"200284",1964
"200284",1965
"200284",1966
"200284",1967
"200284",1968
"200284",1969
"200284",1970
"200284",1971
"200284",1972
"200284",1973
"200284",1974
"200284",1975
"200284",1976
"200284",1977
"200284",1978
"200284",1979
"200284",1980
"200284",1981
"200284",1982
"200284",1983
"200284",1984
"200284",1985
"200284",1986
"200284",1987
"200284",1988
"200284",1989
"200284",1990
"200284",1991
"200284",1992
"200284",1993
"200284",1994
"200284",1995
"200284",1996
"200284",1997
"200284",1998
"200284",1999
"200284",2000
"200284",2001
"200284",2002
"200284",2003
"200284",2004
"200284",2005
"200284",2006
"200284",2007
"200284",2008
"200284",2009
"200284",2010
"200284",2011
"200284",2012
"200284",2013
"200284",2014
"200284",2015
"200284",2016
"200284",2017
"200284",2018
"200284",2019
"200284",2020
"200284",2021
"200284",2022
"200284",2023
"200284",2024
"21200010",1966
"21200010",1967
"21200010",1968
"21200010",1969
"21200010",1970
"21200010",1971
"21200010",1972
"21200010",1973
"21200010",1974
"21200010",1975
"21200010",1976
"21200010",1977
"21200010",1978
"21200010",1979
"21200010",1980
"21200010",1981
"21200010",1982
"21200010",1983
