Nr,version,Navn,Areal (km2),Dailydata_Start,Dailydata_Slutt,Dailydata_Utlatt,Dailydata_N,Findata_Start,Findata_Slutt,Findata_Utelatt,Findata_N,RN,HN,Nedlagt.regulert
2.451,1,Nordre Osa,447.09,1989,2015,2010,26,2000,2015,"2003, 2010",14,2,451,
2.457,1,Fossum Bru,1136.62,1985,2015,"1987, 2012",29,1999,2015,"2003:2006, 2012",12,2,457,
2.463,1,Vismunda,190.65,1987,2015,1992,28,1987,2015,"1988, 1992, 2013",26,2,463,
2.464,1,Svartelva,459.03,1987,2015,1996,28,1987,2015,"1991, 1995, 1996",26,2,464,
2.465,1,Flagstadelva,173.13,1987,2014,1996,27,1997,2014,2008,17,2,465,
2.479,1,Li Bru,156.81,1998,2015,"",18,1998,2015,"",18,2,479,
2.481,1,Jora,213.28,2009,2015,"",7,2009,2015,"",7,2,481,
2.578,1,Imssjøen S.,157.97,2003,2015,"2007, 2010:2012",9,2003,2015,"2006, 2007, 2010:2013",8,2,578,
2.592,1,Fokstua,26.37,2005,2015,"",11,2005,2015,"",11,2,592,
2.603,1,Glåmos bru,861.32,1903,1916,"",14,,,"",,2,603,R
2.604,1,Elverum,15451.76,1872,1912,"",41,,,"",,2,604,R
2.607,1,Vålåsjø,125.44,1980,2015,1996,35,1988,2015,"1990, 1996:1998, 2012",23,2,607,
2.61,1,Orva,25.44,1996,2015,"1999, 2001, 2002",17,1998,2015,"1999, 2001, 2002, 2006",14,2,61,
2.611,1,Storsjøen ndf. -Øra,2337.11,1903,1930,1907:1909,25,,,"",,2,611,R
2.614,1,Rosten,1833.91,1918,2015,"",98,1986,2015,"1998, 2004",28,2,614,
2.616,1,Sagstua,48.38,1978,2015,"1993, 2003",36,1978,2015,"1988, 1993, 2003",35,2,616,
2.63,1,Rudi,"",1988,2012,"1992:1997, 2005",18,1998,2012,2005,14,2,63,
2.633,1,Stortorp,87.13,1980,2015,1998,35,1999,2015,"2010, 2012",15,2,633,
2.634,1,Lena,182.6,1993,2015,"",23,2001,2015,"",15,2,634,
20.2,1,Austenå,276.42,1925,2015,"",91,1985,2015,"1990, 1992",29,20,2,
20.3,1,Flaksvatn,1780.66,1900,2015,"",116,,,"",,20,3,
20.4,1,Vikstølvatn,75.1,1924,1959,"",36,,,"",,20,4,
200.4,1,Skogsfjordvatn,136.01,1989,2015,"",27,1989,2015,"1990, 1992, 1997, 2001, 2007, 2012",21,200,4,
203.2,1,Jægervatn,92.48,1989,2014,2011,25,1989,2014,2011,25,203,2,
205.1,1,Helligskogen,365.06,1928,1977,"1944:1961, 1969:1971",29,,,"",,205,1,
205.2,1,Gardebor,219.78,1967,1978,"",12,,,"",,205,2,
205.3,1,Skibotn Bru,727.22,1971,1977,"",7,,,"",,205,3,R
206.2,1,Holm Bru,344.6,1962,1970,"",9,,,"",,206,2,R
206.3,2,Manndalen Bru,200.48,1972,2015,"",44,1972,2015,"1978, 1981, 1993, 1995, 1996, 2004",38,206,3,
207.1,1,Fagertun,15.48,1949,1982,"",34,,,"",,207,1,
208.2,1,Oksfjordvatn,265.6,1956,2015,2011,59,1985,2015,"1986, 2011",29,208,2,
208.3,1,Svartfossberget,1932.29,1982,2014,"",33,1985,2014,"",30,208,3,
209.1,0,Njemenjaikafoss,172.37,1928,1965,"1944, 1945, 1953:1956, 1960",31,,,"",,209,1,
209.2,1,Baddern,137.24,1928,1940,"",13,,,"",,209,2,
209.3,2,Kvænangselv Bru,310.66,2003,2013,"",11,2005,2013,2006,8,209,3,
21.47,1,Lislefjødd,19.01,2006,2015,"2009, 2013",8,2007,2015,"2009, 2012, 2013",6,21,47,
210.1,1,Øvrefoss,169.96,1962,1993,1968,31,1985,1993,"",9,210,1,
212.10,1,Masi,5620.81,1967,2015,2003,48,1985,2015,"1994, 1996, 1998, 2002, 2003, 2010",25,212,10,
212.11,1,Kista,6182,1972,1986,"",15,1977,1986,1979:1985,3,212,11,
212.26,1,Suohpatjohka,604.39,2009,2011,"",3,2010,2010,"",1,212,26,
212.27,1,Eibyelva v/Hammeren,624.18,2008,2014,"",7,2009,2014,"",6,212,27,
212.48,1,Sagafoss,233.67,1991,2014,"",24,1991,2014,"",24,212,48,
212.49,1,Halsnes,144.89,1972,2014,2002,42,1992,2014,2002,22,212,49,
212.7,1,Lille Mattisvatn,319.02,1939,1990,"1940, 1944, 1945, 1979, 1980",47,1985,1990,1986,5,212,7,
213.2,1,Leirbotnvatn,135.47,1962,2014,"",53,1981,2014,"1993, 1997, 2005, 2010",30,213,2,
213.3,1,Skaidi,306.73,1975,1992,"",18,1985,1992,1986,7,213,3,
213.4,1,Kvalsund,124.8,1979,2013,"",35,1980,2013,1992,33,213,4,
22.16,1,Myglevatn ndf.,182.2,1952,2015,1998,63,1999,2015,2007,16,22,16,
22.22,1,Søgne,203.58,1974,2015,1992,41,1974,2015,"1979, 1992",40,22,22,
22.4,1,Kjølemo,1757.7,1897,1933,"",37,,,"",,22,4,R
22.5,1,Austerhus,413,1922,1957,"",36,,,"",,22,5,
223.1,0,Stabburselv,1067.33,1924,1959,1944:1946,33,,,"",,223,1,
224.1,1,Skoganvarre,942.31,1922,1955,1944:1945,32,,,"",,224,1,R
225.1,1,Børselv,871.27,1922,1932,"",11,,,"",,225,1,
228.2,1,Kunes,678.22,1980,2000,1994,20,1985,2000,"1988, 1994",14,228,2,
229.1,1,Adamsfjordfoss,710.57,1928,1960,1944:1946,30,,,"",,229,1,
229.2,1,Nedre Friarfjordvatn,128.22,1932,1943,"",12,,,"",,229,2,
234.13,1,Vækkava,2079.25,1990,2010,"",21,1990,2010,"",21,234,13,
234.18,1,Polmak nye,14161.4,1992,2015,"",24,1992,2015,"",24,234,18,
234.2,1,Jiesjokka,460.53,1958,1979,"",22,,,"",,234,2,
234.4,1,Smalfjord,30.05,1961,1986,"",26,1970,1986,"1976, 1977, 1983",14,234,4,
234.5,1,Njalmigoaika,2256.83,1967,1990,"",24,1986,1990,"",5,234,5,
237.1,1,Båtsfjord,21.93,1981,2014,1986,33,1981,2014,"1985:1988, 1990, 1992, 1996, 2007, 2011",25,237,1,
24.8,1,Møska,121.41,1979,2015,"1982, 1994",35,1995,2015,"",21,24,8,
24.9,1,Tingvatn,272.16,1923,2015,"",93,1995,2015,"",21,24,9,
241.1,1,Bergeby,247.58,1961,1996,"",36,1985,1996,"",12,241,1,
244.2,1,Neiden,2947.19,1912,2014,"1974:1978, 2011",97,1985,2014,2011,29,244,2,
246.1,1,Bjørnvatn,18109.95,1940,1960,"",21,,,"",,246,1,
246.8,1,Vaggatem,244.96,1964,1986,1978,22,,,"",,246,8,
246.9,1,Sametielv,255.69,1982,2013,"",32,1985,2013,2005,28,246,9,
25.2,1,Kvinen,482,1916,1966,1919:1958,11,,,"",,25,2,
25.24,1,Gjuvvatn,96.82,1972,2015,1994,43,1987,2015,"1994, 1999",27,25,24,
25.3,1,Netland,896,1916,1952,"",37,,,"",,25,3,
25.30,1,Stegemoen,1147.61,1971,2015,"",45,1987,2015,1997,28,25,30,
25.4,1,Røynstadbru,1142,1916,1934,"",19,,,"",,25,4,
25.7,1,Refsti,202.68,1922,1947,"",26,,,"",,25,7,
25.8,1,Mygland 1931-1991,46.9,1931,2005,"",75,1997,2005,"",9,25,8,
26.15,1,Svartevatn,209,1959,1974,"",16,,,"",,26,15,
26.20,1,Årdal,77.25,1971,2015,"",45,1971,2014,"2009, 2012",42,26,20,
26.21,1,Sandvatn,27.5,1971,2015,"",45,1971,2015,2012,44,26,21,
26.29,1,Refsvatn,52.95,1979,2015,"",37,1979,2015,1987,36,26,29,
26.4,1,Fidjelandsvatn,506,1920,1969,"",50,,,"",,26,4,
26.5,1,Dorgefoss,808.53,1914,1967,"",54,,,"",,26,5,R
26.6,1,Lindeland,963,1914,1969,1931:1961,25,,,"",,26,6,
26.64,1,Rekedalselv,10.11,1997,2015,"2001, 2003, 2009:2011",14,1997,2015,"2001, 2003, 2009:2011",14,26,64,
26.7,1,Sirdalsvatn,1528,1895,1964,1930:1958,41,,,"",,26,7,
26.8,1,Lundevatn,1899,1897,1964,"",68,,,"",,26,8,
27.15,1,Austrumdal,60.85,1986,2015,"",30,1987,2015,"1988, 1989, 1992:1995",23,27,15,
27.16,1,Bjordal,123.81,1988,2015,"1997, 2002",26,1988,2015,"1991, 1996, 1997, 2002, 2004",23,27,16,
27.24,1,Helleland,184.72,1897,1920,"",24,,,"",,27,24,R
27.25,1,Gjedlakleiv,635.15,1983,2015,2001:2002,31,1983,2015,"1992, 1993, 2001, 2002",29,27,25,
27.42,1,Slevelandsåna,5.42,2008,2015,"",8,2008,2015,"",8,27,42,
28.7,1,Haugland,139.35,1919,2015,"",97,1986,2015,"",30,28,7,
29.7,1,Gramstaddalen,1,2006,2015,"",10,2006,2015,"",10,29,7,
3.11,1,Sagstubekken,3.08,1952,1973,"",22,1952,1973,"",22,3,11,
3.22,1,Høgfoss,299.29,1977,2015,"",39,1977,2015,"1984, 1987",37,3,22,
30.1,1,Moluf bru 1940 - 1950,128,1915,1950,"",36,,,"",,30,1,
307.12,1,Huddingsvatn,153.53,1960,1969,"",10,,,"",,307,12,
307.14,1,Saksvatn,64.03,1960,1989,"",30,1960,1989,"1971, 1972, 1979, 1982, 1984:1988",21,307,14,
307.5,1,Murusjø,345.62,1926,2015,"",90,1989,2015,"",27,307,5,
308.1,1,Lenglingen,449.98,1926,2015,"",90,1989,2015,2008,26,308,1,
31.2,1,Lysedalen,47.2,1954,1984,"",31,,,"",,31,2,
311.10,1,Galten,2482,1950,1983,1952,33,,,"",,311,10,
311.4,1,Femundsenden,1794.03,1896,2015,1997:1998,118,1986,2015,"1997, 1998, 2003",27,311,4,
311.460,1,Engeren,394.83,1912,2015,1996,103,1987,2015,"1995, 1996, 2008, 2014",25,311,460,
311.6,1,Nybergsund,4424.85,1909,2015,"",107,2002,2015,"",14,311,6,
32.6,1,Liarvatn,55.85,1915,1943,1927:1935,20,,,"",,32,6,R
33.10,1,Sandvatn,70.4,1991,2015,"2001:2005, 2009",19,1991,2015,"2001:2005, 2009",19,33,10,
33.11,1,Bergland bru,155,1966,1979,"",14,,,"",,33,11,
33.2,1,Tveid 1896-1928,513,1897,1956,"",60,,,"",,33,2,
35.16,1,Djupadalsvatn,45.34,1991,2015,"",25,1991,2015,"",25,35,16,
35.2,0,Hauge Bru,393.88,1906,1980,"",75,,,"",,35,2,
35.9,1,Osali,22.46,1983,2015,2010,32,1983,2015,"1985:1989, 2010",27,35,9,
36.11,1,Stråpa,1304,1905,1963,"",59,,,"",,36,11,R
36.12,1,Fossåna,10.7,1993,2003,2001:2002,9,1994,2003,"1995, 1997, 1998, 2001, 2002",5,36,12,
36.13,1,Grimsvatn,34.54,1974,2014,"",41,1974,2014,1986,40,36,13,
36.2,1,Røldalsvatn,497.08,1914,1964,"",51,,,"",,36,2,
36.32,1,Lauvastøl,20.72,1986,2015,"1990, 1992, 1994",27,1993,2015,1994,22,36,32,
37.27,1,Breiborgvatn,12.43,1996,2015,"2005, 2007, 2011",17,1996,2015,"2005:2007, 2011",16,37,27,
38.1,1,Holmen,116.88,1983,2015,2002,32,1985,2015,2002,30,38,1,
39.1,1,Tysvær,3.34,1975,2015,"2002, 2003, 2010",38,1975,2015,"2002, 2003, 2010",38,39,1,
39.2,1,Kallandsvatnet,7.68,2006,2015,"",10,2006,2015,2011,9,39,2,
41.1,1,Stordalsvatn,130.61,1913,2015,"",103,1985,2015,"",31,41,1,
41.5,1,Stakkastadsvatn,33,1936,1973,"",38,,,"",,41,5,
42.1,1,Fjellhaugvatn 1908-1921,150,1909,1920,"",12,,,"",,42,1,
42.16,1,Fjellhaugen,7.22,1998,2015,"",18,2000,2015,"2001, 2007",14,42,16,
42.2,1,Djupevad,31.9,1972,2015,"",44,1972,2015,2005,43,42,2,
45.4,1,Seimsfoss i Guddalselv,36.38,2007,2015,"",9,2007,2015,"",9,45,4,
46.1,1,Øvrehuselv,37,1919,1939,"",21,,,"",,46,1,
46.3,1,Øyreselv 1921-1968,83.4,1922,1973,"",52,,,"",,46,3,
46.4,1,Bondhus,60.5,1964,1973,1970:1971,8,,,"",,46,4,R
,,,,,,,,,,,,,,
46.9,1,Fønnerdalsvatn,7.01,1981,2014,"1997, 2003:2005",30,1981,2014,"1992, 1995, 1997, 2003:2005, 2007, 2011",26,46,9,
47.1,1,Eidevatn (Byrkjedalsvatnet) 1908-1989,79.2,1909,1934,"",26,,,"",,47,1,
48.1,1,Sandvenvatn,470.22,1909,2015,"",107,1997,2015,2007,18,48,1,
48.2,1,Raundalsvatn,10.7,1964,1977,"",14,1964,1977,"",14,48,2,
48.4,1,Jordal,51.5,1964,1982,"",19,1964,1982,1976,18,48,4,
48.5,1,Reinsnosvatn,120.5,1918,2015,"1923, 1924, 1926:1929",92,1977,2015,"1978, 1984, 1988, 1996, 1997",34,48,5,
50.1,1,Hølen,232.73,1923,2015,"",93,1962,2015,"1978, 1984",52,50,1,
50.10,1,Isdøla,58.3,1966,1980,"",15,1966,1980,"",15,50,10,
50.2,1,Garen 1908-1948,502,1909,1973,"1916:1918, 1938:1964",35,,,"",,50,2,
50.3,1,Eidfjordvatn,1166.92,1929,1945,"",17,,,"",,50,3,R
50.5,1,Sima,125,1962,1980,"",19,,,"",,50,5,
51.2,1,Austdalsvatn øvre,81.7,1943,1979,1976,36,,,"",,51,2,
51.3,1,Osseter,26.7,1962,1979,"",18,1963,1979,1974:1975,15,51,3,
55.4,1,Røykenes,50.09,1934,2015,"",82,1977,2015,1992,38,55,4,
55.5,1,Dyrdalsvatn,3.31,1978,2015,1997:2001,33,1978,2015,1997:2001,33,55,5,
55.7,1,Eikelandsosen,42.72,1981,1984,"",4,,,"",,55,7,R
6.10,1,Gryta,7.03,1968,2015,"",48,1968,2015,"",48,6,10,
6.71,1,Sinnerdammen,7.63,2006,2013,2008:2009,6,2006,2013,2008:2009,6,6,71,
61.13,1,Haukåselva,7.39,2008,2015,"",8,2008,2015,"",8,61,13,
61.8,1,Kaldåen,15.28,1988,2015,"",28,1988,2015,"1997, 1999, 2010, 2012",24,61,8,
62.10,2,Myrkdalsvatn,158.28,1964,2015,"",52,1971,2015,"1986, 1987, 2011",42,62,10,
62.14,1,Slondalsvatn,41.86,1984,2015,"",32,1985,2015,"1986, 1994, 1997, 1998",27,62,14,
62.15,1,Kinne,511.44,1984,2015,"",32,1984,2015,"",32,62,15,
62.18,1,Svartavatn,72.35,1988,2015,"",28,1988,2015,"1989, 1990, 1994, 1998, 1999, 2004, 2009, 2011",20,62,18,
62.5,1,Bulken,1092.04,1892,2015,"",124,1995,2015,"",21,62,5,
62.6,1,Austmannhølen,295,1909,1975,"1946:1962, 1974",49,,,"",,62,6,
63.1,1,Nese 1908-1942,346,1909,1941,"",33,,,"",,63,1,
63.12,1,Fjellanger,12.83,1995,2015,"",21,1995,2015,"1997, 1998, 2004, 2006, 2009, 2010",15,63,12,
63.2,1,Brakestad,224,1935,1971,"",37,,,"",,63,2,
63.3,1,Fosse,261,1935,1971,"",37,,,"",,63,3,
64.6,1,Solrenningsvatn,53.37,2006,2014,2007,8,2006,2014,2007,8,64,6,
68.1,1,Kløvtveitvatn 1922-1950,"4,51",1923,2005,"",83,1971,2005,"",35,68,1,
68.2,1,Havelandselv,21,1965,2015,"1981, 1982, 1984:1997",35,1998,2015,2005,17,68,2,
70.8,1,Målset,7.71,1988,2015,"",28,1988,2015,1989,27,70,8,
71.1,2,Skjerping,267.79,1969,2015,"",47,1988,2015,2006,27,71,1,
71.5,1,Feios,"75,2",1973,2006,"",34,1973,2006,"1975, 1977, 2005",31,71,5,
72.1,1,Klevevatn,109,1909,1947,"1922:1934, 1943:1945",23,,,"",,72,1,
72.5,2,Brekke bru,268.16,1944,2014,"",71,1997,2014,"1998, 2009",16,72,5,
72.7,1,Vassbygdvatn,758.77,1909,1969,"",61,,,"",,72,7,
72.8,1,Aurdalsvatn,397,1953,1975,"",23,,,"",,72,8,
73.1,1,Lo Bru,562.39,1916,1972,"",57,,,"",,73,1,R
73.10,1,Smeddalen,157,1967,1983,"",17,,,"",,73,10,
73.21,1,Frostdalen,25.74,1968,2015,1981:1993,35,1968,2014,"1972:1993, 1997, 1998",23,73,21,
73.27,1,Sula,30.32,1968,2015,1982:1991,38,1968,2015,"1970:1979, 1982:1991, 1993",27,73,27,
73.4,1,Sælthun,789.96,1962,1971,"",10,,,"",,73,4,R
73.5,1,Breistøl,152,1962,1971,"",10,,,"",,73,5,
73.6,1,Bergstølsfoss,203,1962,1971,"",10,,,"",,73,6,
73.7,1,Ulvisbakken,261,1962,1972,"",11,,,"",,73,7,
73.8,1,Dilma 1961-1968,133,1962,1972,"",11,,,"",,73,8,
73.9,1,Nivla,166,1962,1972,"",11,,,"",,73,9,
74.1,1,Årdalsvatn,978.68,1901,1934,"",34,,,"",,74,1,R
74.18,1,Fornabu,53.13,1983,2015,"1985, 1987:1989",29,1983,2015,"1985, 1987:1990, 1993, 2006",26,74,18,
74.2,1,Tya,291,1912,1940,"",29,,,"",,74,2,
75.2,1,Ytri bru,367,1919,1955,"",37,,,"",,75,2,
75.20,1,Åstevatn,29,1967,1976,1969,9,1967,1976,1969,9,75,20,
75.21,1,Rausdal,126,1964,1980,"1971, 1973",15,,,"",,75,21,
75.22,1,Gilja,203.43,1985,2015,"",31,1985,2015,"1994, 2005, 2013",28,75,22,
75.23,1,Krokenelv,45.92,1966,2015,"",50,1966,2015,"",50,75,23,
75.28,1,Feigumfoss,48.04,1973,2015,"",43,1974,2015,"1977, 2000",40,75,28,
76.10,1,Myklemyr,575.82,1979,1988,"",10,1985,1988,"",4,76,10,
76.11,1,Vigdøla,45.45,1990,2015,"",26,1990,2015,"1991, 2001, 2006",23,76,11,
76.14,1,Fåbergstøl,182.96,1987,1988,"",2,1987,1988,"",2,76,14,
76.4,1,Leirdal,143,1963,1974,1969,11,,,"",,76,4,
76.5,1,Nigardsjøen,65.29,1963,2015,"",53,2002,2015,"",14,76,5,
77.2,1,Veitestrandsvatn 1900-1951,386,1901,1981,"",81,,,"",,77,2,
77.20,1,Henjaelvi ved Flotande,48.14,2007,2014,"",8,2007,2014,2009,7,77,20,
77.3,1,Sogndalsvatn,110.93,1963,2015,"",53,1991,2015,"",25,77,3,
78.8,1,Bøyumselv,40.42,1983,2015,"",33,1983,2015,"",33,78,8,
79.3,1,Nessedalselv,30,1984,2015,"",32,1984,2015,"",32,79,3,
8.2,1,Bjørnegårdsvingen,190.19,1969,2015,"",47,1986,2015,"1987, 1989, 2007",27,8,2,
8.6,1,Sæternbekken,6.23,1972,2015,"1973, 1974, 1984, 1987, 1988, 2001",38,1972,2015,"1973, 1974, 1984:1988, 2001",36,8,6,
8.8,1,Blomsterkroken,22.2,1976,2002,"",27,1976,2002,"1988, 1989, 2000",24,8,8,
80.4,1,Ullebøelv,8.31,1967,2015,"",49,1983,2015,"1989, 2001, 2003, 2008",29,80,4,
81.1,1,Hersvikvatn,7.13,1934,2015,"",82,1977,2015,"",39,81,1,
82.4,1,Nautsundvatn,218.96,1984,2015,"",32,2005,2015,"",11,82,4,
83.12,1,Haukedalsvatn,205.55,1985,2015,"",31,1986,2015,1999,29,83,12,
83.2,1,Viksvatn,508.13,1903,2015,"",113,1985,2015,"",31,83,2,
83.4,1,Eldal,169,1932,1955,"",24,,,"",,83,4,
83.6,1,Byttevatn,104.54,1966,2015,"1972:1974, 1977",46,1985,2015,"",31,83,6,
83.7,1,Grønengstølsvatn,65.65,1966,2015,"",50,1966,2015,"1968, 1976, 1995, 2003",46,83,7,
84.10,1,Nesvatn,"96,1",1964,1988,"",25,,,"",,84,10,
84.15,1,Jølstervatn ndf.,384.46,1903,1951,"",49,,,"",,84,15,R
84.19,1,Sygnesandselva,10.32,1998,2009,"",12,1999,2008,2002,9,84,19,
84.20,1,Holsenvatn,71.48,1964,2015,"",52,1983,2015,2002,32,84,20,
84.30,1,Lunde,34.37,1996,2009,"",14,1996,2009,2002,13,84,30,
84.7,1,Sægrova,7.14,1997,2005,2002:2003,7,1997,2005,"1999, 2002, 2003",6,84,7,
85.1,1,Norddal,"97,5",1909,1962,"",54,,,"",,85,1,
85.2,1,Blåmannsvatn,225.63,1930,1985,"",56,,,"",,85,2,R
85.4,1,Staumstad,109.68,1975,2015,"",41,1982,2015,"1984, 1995, 1997",31,85,4,
86.1,1,Risevatn,32.57,1929,1971,"",43,,,"",,86,1,R
86.10,1,Åvatn,162.13,1975,2015,"",41,1984,2015,"1985, 1995, 1998, 1999, 2002:2004, 2008",24,86,10,
86.12,1,Skjerdalselv,23.66,1983,2015,"",33,1983,2015,"1989, 1996",31,86,12,
86.4,1,Gjengedalsvatn,"56,0",1964,2000,"",37,1970,2000,"",31,86,4,
87.10,1,Gloppenelv v/Bergheim,217.12,1971,2015,"",45,,,"",,87,10,
87.2,1,Eidsfoss,614.33,1901,1915,"",15,,,"",,87,2,R
88.11,1,Strynsvatn,482.04,1982,2015,"1994, 1996, 2001:2006",26,1985,2015,"1990, 1994, 1996, 2001:2006",22,88,11,
88.15,1,Grasdøla,34.54,1980,2015,"1985, 1986, 1989:1997",25,1987,2015,"1989:1997, 2002",19,88,15,
88.30,1,Oldevatn,203.1,1988,2015,"",28,1988,2015,"",28,88,30,
88.4,1,Lovatn,234.88,1901,2015,"",115,1988,2015,"",28,88,4,
89.1,1,Hornindalsvatn,381.68,1967,2015,"",49,1990,2015,1996,25,89,1,
90.1,1,Førdeelv,2.99,2008,2015,"",8,2008,2015,"",8,90,1,
91.2,1,Dalsbøvatn,25.72,1935,2015,"",81,1984,2015,2009,31,91,2,
96.3,1,Hareidselv,40.37,1986,2015,2009:2010,28,1986,2015,"1987, 1992, 1996, 2002, 2009, 2010",24,96,3,
98.4,1,Øye ndf.,138.78,1917,2015,"1956, 1979:1982, 1999",93,1991,2015,"1999, 2002",23,98,4,
99.1,1,Onilsavatn,303,1910,1918,"",9,,,"",,99,1,
99.17,1,Rødøla,49.86,1986,2015,"1995, 1996, 2007",27,1993,2015,"1995, 1996, 2007, 2013",19,99,17,
99.2,1,Heimste Kaldhussetervann,"99,8",1913,1924,1920,11,,,"",,99,2,
99.3,1,Øyen,183,1912,1923,1920,11,,,"",,99,3,
