Nr,version,Navn,Areal (km2),Dailydata_Start,Dailydata_Slutt,Dailydata_Utlatt,Dailydata_N,Findata_Start,Findata_Slutt,Findata_Utelatt,Findata_N,RN,HN,Nedlagt.regulert
12.64,1,Haugastøl,381,1911,1922,"",12,,,"",,12,64,
12.69,1,Randsfjord,3692,1870,1871,"",2,,,"",,12,69,
12.7,1,Høvsfjord,785,1919,1929,"",11,1929,1929,"",,12,7,
12.70,1,Etna,570.17,1920,2015,"",96,1983,2015,"",33,12,70,
12.77,1,Slidrefjord 1907-1948,763,1908,1944,"",37,,,"",,12,77,
12.8,1,Grønvold Bru,933.48,1964,1987,1976:1978,21,,,"",,12,8,
12.80,1,Strandefjord,1796,1908,1918,"",11,,,"",,12,80,
12.95,1,Ustedalsvatn,570,1909,1964,"",56,,,"",,12,95,
12.96,1,Oppsjø bru,1704,1918,1930,"",13,,,"",,12,96,
12.97,1,Bergheim,4248.54,1921,1934,"",14,,,"",,12,97,R
12.99,1,Skålfoss,5126.71,1891,1934,"",44,,,"",,12,99,
121.13,1,Grana,212.51,1962,1978,"",17,,,"",,121,13,
121.14,1,Svorksjøen,103.23,1965,1977,"",13,,,"",,121,14,
121.20,1,Åmot,282.36,1988,2015,1992:1993,26,1988,2015,1992:1993,26,121,20,
121.22,1,Syrstad,2278.13,1913,1939,"",27,,,"",,121,22,R
121.9,1,Næverdal,793.85,1967,1981,"",15,,,"",,121,9,
122.11,1,Eggafoss,654.24,1942,2015,2013,73,1966,2015,"1975:1985, 2013",38,122,11,
122.13,1,Økdalsmo bru,111.36,1964,1980,"",17,,,"",,122,13,
122.17,1,Hugdal Bru,546.17,1973,2015,"2001:2006, 2010",36,1973,2015,"2001:2006, 2010, 2013",35,122,17,
122.9,1,Gaulfoss,3086.41,1959,2015,1977:1987,46,1988,2015,1993:1994,26,122,9,
123.11,1,Kistafoss,1035.11,1931,1947,"",17,,,"",,123,11,
123.13,1,Stokke,1989.98,1916,1946,"",31,,,"",,123,13,
123.14,1,Fossan,278.96,1919,1939,"",21,,,"",,123,14,
123.24,1,Rotla bru,256.79,1964,1989,"",26,,,"",,123,24,
123.29,1,Svarttjørnbekken,3.42,2006,2015,"",10,2006,2015,"",10,123,29,
123.31,1,Kjelstad,145,1930,2015,"",86,1986,2015,"",30,123,31,
124.1,1,Floren 1912-1932,975.76,1914,1926,1915:1919,8,,,"",,124,1,
124.10,1,Mannseter,96.82,1963,1993,"",31,1989,1993,"",5,124,10,
124.11,1,Dalå,152.88,1963,1983,"",21,,,"",,124,11,
124.13,1,Feren,219.99,1969,2015,"1985:2006, 2008: 2014",18,2007,2015,2008:2014,2,124,13,
124.14,1,Trøa,181.98,1983,1993,"",11,1988,1993,1990,5,124,14,
124.15,1,Børstad,48.46,1992,2015,2005:2006,22,1992,2015,"1994, 1998, 2002, 2005, 2006, 2010",18,124,15,
124.2,1,Høggås Bru,494.72,1913,2015,"",103,1965,2015,"1974, 1977, 1979, 1991, 2014",46,124,2,
125.2,1,Fossing,163.37,1932,1965,"",34,,,"",,125,2,R
126.2,1,Engstad,20.03,1993,2015,2012:2014,20,1998,2015,"1999, 2002, 2004, 2012:2014",12,126,2,
127.11,1,Veravatn,176.13,1967,2015,"",49,1981,2015,"",35,127,11,
127.12,1,Innsvatn,97.6,1973,1991,"",19,1974,1991,"",18,127,12,
127.13,1,Dillfoss,479.64,1973,2015,"",43,1973,2015,"1991, 2002, 2006, 2008",39,127,13,
127.6,0,Grunnfoss,880.42,1952,2015,"",64,1989,2015,"",27,127,6,
127.7,1,Ådalsvollen 1933-1938,132.66,1910,1925,"",16,,,"",,127,7,
128.10,1,Navlusfoss,436.97,1981,1991,"",11,,,"",,128,10,
128.9,1,Leksdalsvatn,177.22,1972,2010,"",39,1989,2010,"",22,128,9,
132.3,1,Spakmo,245.85,1917,1930,"",14,,,"",,132,3,
132.4,1,Storvatn-Svartelva,147.97,1917,1958,"",42,,,"",,132,4,
133.7,1,Krinsvatn,206.61,1916,2015,"",100,1970,2015,"1984, 1989",44,133,7,
138.1,1,Øyungen,239.07,1917,2015,"",99,1977,2015,"1983, 1986",37,138,1,
139.11,1,Tunnsjøplass,472.21,1909,1940,"",32,,,"",,139,11,
139.13,1,Grongstadvatn,471.61,2004,2015,"",12,2004,2015,"",12,139,13,
139.15,1,Bjørnstad,1037.62,1935,1950,"",16,,,"",,139,15,R
139.20,1,Moen,64.03,1975,2015,"",41,1976,2015,1988,39,139,20,
139.25,1,Skjellbreivatn,546.35,1983,2015,"1985:1988, 2013, 2014",27,1989,2015,"1993, 1998, 2001, 2011, 2013, 2014",21,139,25,
139.35,1,Trangen,852.39,1979,2015,"",37,1990,2015,"",26,139,35,
139.5,1,Namsvatn,700,1909,1948,"",40,,,"",,139,5,
139.8,1,Fiskumfoss,3295.03,1908,1941,"",34,,,"",,139,8,
140.2,1,Salsvatn,431.9,1917,2015,"1942, 1948, 1970, 1975",95,1989,2015,2014,26,140,2,
142.1,1,Aunvatn,87.29,1984,2015,"",32,1984,2015,1987:1988,30,142,1,
144.1,1,Åbjørvatn,388.95,1909,1949,"",41,,,"",,144,1,R
148.1,1,Strompdal,192.78,1909,1953,"",45,,,"",,148,1,
148.2,1,Mevatnet,108.47,1974,2015,"",42,1974,2015,1994:1998,37,148,2,
15.1,1,Labru 1873-1899,4290,1874,1907,1876:1895,14,,,"",,15,1,
15.174,1,Istreelva vannstand,25.58,2009,2015,2011,6,2009,2015,2011,6,15,174,
15.18,1,Bommestad bru 1879-1916,5541,1880,1915,"",36,,,"",,15,18,
15.19,1,Fønnebøfjord,688,1931,1966,"",36,,,"",,15,19,
15.21,1,Jondalselv,125.9,1920,2015,"",96,1995,2015,"",21,15,21,
15.49,1,Halledalsvatn,59.13,1963,2015,"",53,1963,2015,"1970, 1971, 1974, 1976, 1982, 1992",47,15,49,
15.52,1,Smådøla,98.4,1966,1981,"",16,,,"",,15,52,
15.53,0,Borgåi,94.07,1967,2015,"",49,2000,2015,2002,15,15,53,
15.55,1,Økta,49.5,1967,1981,"",15,1967,1980,"1968, 1970, 1973, 1976",10,15,55,
15.62,0,Hagnes,245,1971,1987,1985:1986,15,,,"",,15,62,
15.72,1,Sørkja,36.2,1980,1990,"",11,1985,1990,1987,5,15,72,
