"OBJECTID";"Shape";"vassdragNr";"navnNedbf";"arealEnh";"elvHierark";"vassOmr";"P1_Id";"klimaRegion";"region";"QNormal6190_mmAar";"QNormal6190_lskm2";"heightMin";"height10";"height20";"height30";"height40";"height50";"height60";"height70";"height80";"height90";"heightMax";"sjoPro";"brePro";"skoPro";"jbrukPro";"myrPro";"snaufjellPro";"urbanPro";"annetPro";"neddemtAreal_km2";"sumArealMagHRV";"sumArealMagNatVst";"antMag";"antMagIkkeDigNatVst";"tillopAktuelt";"effsjoPro";"effsjoTillop";"feltLeng_km";"elveLengde";"sumElvLengde";"feltLengdTillop";"gradElv";"grad1085";"drenTetthet";"tamSommer";"tamVinter";"rrSommer";"rrVinter";"tamJuli";"tamAugust";"tamAar";"rrAar";"rrJuni_mm";"rrJuli_mm";"qttMai_mm";"qttJuni_mm";"qttNovember_mm";"qttAarMax4dogn_mm";"tamFebruar";"tamMars";"elvenavn";"slopeMean";"leirProsent";"Shape_Length";"Shape_Area";"Ap (km)";"P_Sep (mm)";"qtt_Apr (mm)"
484;"Polygon";"185.3Z";"Gryttingselva";9.82;"Gryttingselva";185;56879;"Nord";"Nord";1989.965829;63.0934;1;17;21;49;116;190;249;328;380;473;737;4.639766;0;40.255855;1.011965;11.952648;34.495927;0.050916;7.548371;0;0;0;0;0;0;1.876178;-999;4.389264;7.02014;12.838345;-999;0;-53.560185;1.528771;8.612345;-0.421993;498.69322;999.343333;10.956579;10.863176;3.342315;1498.036553;66.966542;79.983877;236.280033;105.850249;133.166051;97.653811;-3.411119;-2.620262;"Gryttingselv";19.220983;0;14844.96065;9823459.756;661.737002114435;138.785133091271;152.386490502014
454;"Polygon";"177.1Z";"Lakselva";25.22;"Lakselva";177;56678;"Nord";"Nord";2856.621608;90.571389;1;61;123;193;272;359;425;484;564;669;967;4.185666;0;24.623315;0.022304;4.874603;64.170301;0;1.68517;0;0;0;0;0;0;0.559164;-999;10.573169;13.34343;28.270956;-999;38.307991;39.370187;1.321815;7.898552;-1.401585;708.13686;1731.457154;10.504106;10.22194;2.473472;2439.594014;66.333593;87.486005;335.403553;171.423177;102.451987;91.142783;-5.382455;-4.276445;"Lakselv";24.849837;0;32148.5884;25217330.03;771.988946512661;140.830221152731;135.306284746227
1252;"Polygon";"186.33Z";"Grindelva";7.46;"Grindelva";186;57139;"Nord";"Nord";1747.993635;55.421485;1;28;61;116;158;212;264;312;369;453;683;2.32071;0;24.15382;0.284853;20.333445;39.351542;0;13.496984;0;0;0;0;0;0;0.134244;-999;3.819398;4.60355;15.165119;-999;98.40232;102.52957;2.316136;8.639315;-0.159279;446.194292;887.36891;11.020312;11.017431;3.506802;1333.563202;62.255606;78.163273;245.912898;98.268028;107.621993;84.992872;-3.938047;-3.147831;"Grindelv";18.604119;0;11995.96842;7457941.817;621.332457666179;122.063665658116;NA
492;"Polygon";"186.3Z";"Kobbedalselva";15.12;"Kobbedalselva";186;23549;"Nord";"Nord";1370.886646;43.465017;1;13;20;33;102;157;208;261;325;378;621;1.393022;0;32.911706;0.47123;29.282407;23.950066;0.223214;11.553406;0;0;0;0;0;0;0.131984;-999;5.77282;8.22488;23.530945;-999;40.547704;30.152416;1.630782;8.057477;-0.358266;385.342891;753.132213;10.410263;10.476318;3.148294;1138.475103;61.591068;76.306338;196.51822;77.563763;109.265756;80.821943;-3.306816;-2.603641;"Kobbedalselv";12.713166;0;17601.06009;15115094.7;845.318863893936;121.662718478207;139.448607403732
654;"Polygon";"113.71Z";"Bjøringelva";14.4;"Bjøringelva";113;41583;"Midt";"Midt";1792.862851;56.844098;1;274;303;350;397;449;511;583;610;650;790;8.133681;0;33.567708;1.119792;5.117188;40.533854;0;11.5625;0;0;0;0;0;0;2.912365;-999;9.724312;11.553518;21.045445;-999;61.485168;45.700366;1.990162;8.222826;-0.280029;651.807891;1220.774236;9.961968;10.225921;3.262827;1872.582128;88.334397;126.083546;346.825911;134.643692;101.758045;95.11936;-4.28279;-2.680113;"Bjøringelv";14.062153;0;24465.78303;14403277.42;588.711074859414;192.73200689536;183.316504583239
491;"Polygon";"234.CCZ";"Bittusjåkka";41.08;"Bittusjåkka/Laksjåkka/Tana";234;44015;"Finnmark";"Finnmark";536.912432;17.023222;234;295;301;310;320;334;344;356;365;380;415;9.02203;0;0.150621;0;2.09804;87.218537;0;1.370801;0;0;0;0;0;0;1.324343;-999;11.64791;21.56999;42.79249;-999;7.695877;5.872356;1.70038;6.206733;-8.691101;206.983511;207.823677;10.165651;8.838144;-2.48367;414.807188;33.365511;54.710637;159.336116;57.332927;3.819659;51.718548;-14.3423;-11.039593;"Bittusjåkka";3.493974;0;35514.68365;41075500.92;1156.57797565441;41.4354040861362;17.5551425493146
317;"Polygon";"208.4BZ";"Sandelva";48.84;"Sandelva/Fiskelva";208;34873;"Finnmark";"Finnmark";1095.601876;34.736902;8;94;214;422;532;632;700;793;921;1071;1303;0.815162;1.309122;19.649621;0.623208;0.922656;67.280917;0.005119;9.381398;0;0;0;0;0;0;63.325541;-999;13.024923;18.41998;46.43225;-999;53.792675;46.398892;1.01927;5.629818;-4.653979;278.777031;484.317942;8.948719;8.082009;-0.369063;763.094973;37.911292;57.659009;193.442432;128.21895;13.509808;61.45852;-11.727746;-9.905798;"Sandelva";20.163456;0;39270.09128;48838968.43;1243.66831965795;53.6074056883327;39.9900137425324
1177;"Polygon";"177.34Z";"elv fra Kasfjordvatnet";11.74;"elv fra Kasfjordvatnet";177;64149;"Nord";"Nord";897.212689;28.44682;4;17;74;110;175;222;273;317;348;398;493;9.124787;0;65.768739;8.9704;3.018526;7.112436;0.05856;5.967845;0;0;0;0;0;1;7.072528;0.283786;4.265908;6.9555;9.298173;3.690752;59.062612;60.383869;1.127653;8.514957;-0.804331;255.462205;564.46563;11.023787;10.761729;3.078706;819.927835;40.838406;56.494724;220.523777;61.020213;67.855862;69.75756;-4.832924;-3.690905;"elv fra Kasfjordvatne";12.521789;0.516397;16628.31094;11744144.11;705.013993102939;76.7467665657551;NA
562;"Polygon";"104.2AZ";"Tverrelva";51.06;"Tverrelva/Visa";104;38147;"Midt";"Midt";1779.497007;56.420324;16;428;537;593;643;708;762;828;897;1011;1500;2.510527;0.463915;21.412309;0.711173;10.011506;58.405552;0.059978;6.242656;0;0;0;0;0;0;0.306417;-999;11.967612;14.95596;93.046861;-999;48.959077;44.040414;1.954533;7.811504;0.744499;609.941514;1203.844977;9.257329;9.659995;3.689084;1813.786491;71.020857;101.842634;397.676395;244.914997;75.885808;90.222914;-5.818011;-3.949908;"Tverrelva";18.90253;0;35025.6473;51063720.74;1449.68096710633;173.441939879857;126.593190805558
1385;"Polygon";"122.A23Z";"bekk fra Tømmerdalen";10.25;"bekk fra Tømmerdalen/Gaula";122;63337;"Midt";"Midt";599.547107;19.009103;6;23;60;98;124;208;281;350;413;473;657;0.04878;0;51.847561;33.27439;3.182927;5.853659;2.768293;3.018293;0;0;0;0;0;0;2.6e-05;-999;5.914367;9.98638;19.514152;-999;64.031211;64.220802;1.910454;10.333816;-0.038153;355.519958;468.184901;12.320488;12.097901;4.283501;823.70486;65.693375;87.503116;105.557449;71.191011;63.273059;61.921032;-3.84168;-1.824655;"bekk fra Tømmerdalen";10.202149;43.329268;25513.24092;10250375.49;401.766891328273;110.613318460942;135.549952327799
