"ID" "yk" "grunn"
"12700013" 1991 "tabell A2"
"12700013" 2002 "tabell A2"
"12700013" 2006 "tabell A2"
"12700013" 2008 "tabell A2"
"13300007" 1984 "tabell A2"
"13300007" 1989 "tabell A2"
"13800001" 1983 "tabell A2"
"13800001" 1986 "tabell A2"
"13900020" 1988 "tabell A2"
"13900025" 1993 "tabell A2"
"13900025" 1998 "tabell A2"
"13900025" 2001 "tabell A2"
"13900025" 2011 "tabell A2"
"13900025" 2013 "tabell A2"
"13900025" 2014 "tabell A2"
"14000002" 2014 "tabell A2"
"14200001" 1987 "tabell A2"
"14200001" 1988 "tabell A2"
"14800002" 1994 "tabell A2"
"14800002" 1995 "tabell A2"
"14800002" 1996 "tabell A2"
"14800002" 1997 "tabell A2"
"14800002" 1998 "tabell A2"
"15000001" 1973 "tabell A2"
"15000001" 1974 "tabell A2"
"15000001" 1975 "tabell A2"
"15000001" 1976 "tabell A2"
"15000001" 1982 "tabell A2"
"15000001" 1985 "tabell A2"
"15000001" 1986 "tabell A2"
"15000001" 1987 "tabell A2"
"15000001" 1988 "tabell A2"
"15000001" 2003 "tabell A2"
"15000001" 2013 "tabell A2"
"1500049" 1970 "tabell A2"
"1500049" 1971 "tabell A2"
"1500049" 1974 "tabell A2"
"1500049" 1976 "tabell A2"
"1500049" 1982 "tabell A2"
"1500049" 1992 "tabell A2"
"1500053" 2002 "tabell A2"
"1500055" 1968 "tabell A2"
"1500055" 1970 "tabell A2"
"1500055" 1973 "tabell A2"
"1500055" 1976 "tabell A2"
"1500072" 1987 "tabell A2"
"1500079" 2004 "tabell A2"
"1500174" 2011 "tabell A2"
"15100012" 1976 "tabell A2"
"15100015" 1971 "tabell A2"
"15100020" 1990 "tabell A2"
"15100020" 1992 "tabell A2"
"15100020" 1993 "tabell A2"
"15100021" 1992 "tabell A2"
"15100021" 2001 "tabell A2"
"15100028" 2010 "tabell A2"
"15100028" 2013 "tabell A2"
"15200004" 1981 "tabell A2"
"15200004" 1982 "tabell A2"
"15200004" 1983 "tabell A2"
"15200004" 1984 "tabell A2"
"15200004" 1985 "tabell A2"
"15200004" 1986 "tabell A2"
"15200004" 1987 "tabell A2"
"15200004" 1988 "tabell A2"
"15200004" 1991 "tabell A2"
"15500027" 2000 "tabell A2"
"15600008" 1971 "tabell A2"
"15600008" 1972 "tabell A2"
"15600008" 1973 "tabell A2"
"15600008" 1974 "tabell A2"
"15600008" 1975 "tabell A2"
"15600008" 1976 "tabell A2"
"15600008" 1977 "tabell A2"
"15600008" 1978 "tabell A2"
"15600008" 1979 "tabell A2"
"15600008" 1980 "tabell A2"
"15600008" 1981 "tabell A2"
"15600008" 1982 "tabell A2"
"15600008" 1983 "tabell A2"
"15600008" 1985 "tabell A2"
"15600008" 1986 "tabell A2"
"15600008" 1987 "tabell A2"
"15600008" 1988 "tabell A2"
"15600008" 1990 "tabell A2"
"15600008" 1996 "tabell A2"
"15600008" 1998 "tabell A2"
"15600008" 2009 "tabell A2"
"15600010" 2009 "tabell A2"
"15600015" 1979 "tabell A2"
"15600015" 1980 "tabell A2"
"15600015" 1981 "tabell A2"
"15600015" 1982 "tabell A2"
"15600015" 1983 "tabell A2"
"15600015" 1984 "tabell A2"
"15600015" 1985 "tabell A2"
"15600015" 1986 "tabell A2"
"15600015" 1987 "tabell A2"
"15600015" 1988 "tabell A2"
"15600015" 2006 "tabell A2"
"15600015" 2007 "tabell A2"
"15600017" 1990 "tabell A2"
"15600017" 2001 "tabell A2"
"15600017" 2005 "tabell A2"
"15600017" 2012 "tabell A2"
"15600024" 1977 "tabell A2"
"15600024" 1978 "tabell A2"
"15600024" 1979 "tabell A2"
"15600024" 1983 "tabell A2"
"15600024" 1985 "tabell A2"
"15600024" 2010 "tabell A2"
"15600027" 1976 "tabell A2"
"15600027" 1989 "tabell A2"
"15600027" 1998 "tabell A2"
"15600027" 1999 "tabell A2"
"15600027" 2000 "tabell A2"
"1600066" 1957 "tabell A2"
"1600066" 1964 "tabell A2"
"1600066" 1965 "tabell A2"
"1600066" 1966 "tabell A2"
"1600066" 1967 "tabell A2"
"1600066" 1968 "tabell A2"
"1600066" 1969 "tabell A2"
"1600066" 1970 "tabell A2"
"1600066" 1971 "tabell A2"
"1600066" 1972 "tabell A2"
"1600066" 1973 "tabell A2"
"1600066" 1974 "tabell A2"
"1600066" 1981 "tabell A2"
"1600066" 1982 "tabell A2"
"1600066" 1983 "tabell A2"
"1600066" 1984 "tabell A2"
"1600075" 1986 "tabell A2"
"1600075" 2011 "tabell A2"
"1600108" 1976 "tabell A2"
"1600108" 1982 "tabell A2"
"1600109" 1970 "tabell A2"
"1600109" 1976 "tabell A2"
"1600109" 1977 "tabell A2"
"1600109" 1979 "tabell A2"
"1600109" 1980 "tabell A2"
"1600109" 1981 "tabell A2"
"1600122" 1976 "tabell A2"
"1600122" 2001 "tabell A2"
"1600122" 2005 "tabell A2"
"1600127" 1986 "tabell A2"
"1600127" 1993 "tabell A2"
"1600127" 1996 "tabell A2"
"1600127" 1997 "tabell A2"
"1600127" 1998 "tabell A2"
"1600127" 1999 "tabell A2"
"1600127" 2011 "tabell A2"
"1600132" 2001 "tabell A2"
"1600132" 2003 "tabell A2"
"1600132" 2004 "tabell A2"
"1600132" 2005 "tabell A2"
"1600140" 1998 "tabell A2"
"1600140" 1999 "tabell A2"
"1600140" 2000 "tabell A2"
"1600140" 2003 "tabell A2"
"1600140" 2008 "tabell A2"
"1600140" 2009 "tabell A2"
"1600189" 2000 "tabell A2"
"1600189" 2006 "tabell A2"
"1600193" 2002 "tabell A2"
"1600194" 1999 "tabell A2"
"1600194" 2000 "tabell A2"
"1600194" 2001 "tabell A2"
"16100006" 1972 "tabell A2"
"16100006" 1973 "tabell A2"
"16100006" 1983 "tabell A2"
"16100007" 2001 "tabell A2"
"16100007" 2006 "tabell A2"
"16100007" 2009 "tabell A2"
"16100007" 2010 "tabell A2"
"16200003" 1999 "tabell A2"
"16300005" 1979 "tabell A2"
"16300005" 1980 "tabell A2"
"16300005" 1986 "tabell A2"
"16300005" 1996 "tabell A2"
"16300005" 2002 "tabell A2"
"16300006" 2007 "tabell A2"
"16300006" 2013 "tabell A2"
"16300007" 1977 "tabell A2"
"16300007" 1981 "tabell A2"
"16300007" 2005 "tabell A2"
"16700002" 1968 "tabell A2"
"16700002" 1973 "tabell A2"
"16700002" 1975 "tabell A2"
"16800001" 1980 "tabell A2"
"16800001" 1985 "tabell A2"
"16800001" 1986 "tabell A2"
"16800001" 1987 "tabell A2"
"16800001" 1988 "tabell A2"
"16800001" 1991 "tabell A2"
"16800001" 1992 "tabell A2"
"16800001" 1993 "tabell A2"
"16800001" 1994 "tabell A2"
"16800001" 1995 "tabell A2"
"16800001" 1996 "tabell A2"
"16800001" 1997 "tabell A2"
"16800001" 1998 "tabell A2"
"16800001" 1999 "tabell A2"
"16800001" 2000 "tabell A2"
"16800001" 2001 "tabell A2"
"16800001" 2002 "tabell A2"
"16800001" 2003 "tabell A2"
"16800001" 2004 "tabell A2"
"16800001" 2005 "tabell A2"
"16800001" 2006 "tabell A2"
"16800001" 2007 "tabell A2"
"16800001" 2011 "tabell A2"
"17300008" 1992 "tabell A2"
"17300008" 1994 "tabell A2"
"17300008" 2000 "tabell A2"
"17300008" 2001 "tabell A2"
"17300008" 2006 "tabell A2"
"17300008" 2007 "tabell A2"
"17300008" 2008 "tabell A2"
"17300008" 2009 "tabell A2"
"17300008" 2010 "tabell A2"
"17400003" 2003 "tabell A2"
"17400011" 1998 "tabell A2"
"17400011" 1999 "tabell A2"
"17400011" 2010 "tabell A2"
"17600001" 1992 "tabell A2"
"17600001" 1995 "tabell A2"
"17700004" 1985 "tabell A2"
"17700004" 1987 "tabell A2"
"17800001" 1980 "tabell A2"
"18000001" 1992 "tabell A2"
"18000001" 1993 "tabell A2"
"18000001" 1996 "tabell A2"
"18000001" 1997 "tabell A2"
"1800004" 2010 "tabell A2"
"1800004" 2012 "tabell A2"
