RN,HN,version,daily_data_start,daily_data_end,N_daily_data,fine_data_start,fine_data_end,N_fine_data,N,utelatt_yrs
163,5,1,1938,1976,38,1978,2023,40,78,"1996, 2002"
163,6,1,1946,1971,23,1964,2023,48,71,"2007, 2013"
163,7,1,1972,1992,3,1970,2023,46,49,
166,1,1,1917,1985,69,1988,2023,36,105,
166,13,1,1988,1988,1,1989,2022,34,35,
167,2,1,1917,1958,41,1965,1989,18,59,1973
168,1,1,1917,1966,4,1960,2023,37,41,"2007, 2011"
168,2,1,,,0,1986,2022,35,35,
174,3,1,1925,2006,5,1982,2023,38,43,2003
174,11,1,,,0,1994,2023,25,25,2010
177,4,1,1917,1975,59,1980,2023,37,96,
178,1,1,,,0,1979,2023,44,44,1980
180,1,1,,,0,1990,2023,30,30,"1992, 1993"
18,10,1,1982,1984,3,1985,2023,36,39,"1993, 1994"
18,11,1,1986,1986,1,1982,2023,40,41,1988
185,1,1,1935,1991,44,1978,2023,41,85,2008
189,3,1,1979,1990,11,1989,2023,31,42,"1994, 2014"
19,73,1,1977,1985,2,1968,2023,48,50,1986
19,76,1,1970,1984,15,1985,2001,17,32,
19,78,1,,,0,2000,2023,24,24,
19,79,1,,,0,1971,2023,47,47,
19,80,1,,,0,1972,2023,45,45,"1994, 2000, 2009"
19,82,1,,,0,1973,2023,43,43,1987
19,96,1,1980,1989,3,1975,2023,42,45,
19,104,1,,,0,1981,2023,43,43,
19,107,1,,,0,1986,2023,24,24,"1993, 1995, 1996, 2002, 2004, 2007"
191,2,1,1988,1989,2,1990,2023,34,36,
196,7,1,1961,1977,15,1978,2023,40,55,"1992, 1998"
196,11,1,1959,1988,30,1989,2023,34,64,
196,12,1,1962,1976,15,1978,2023,42,57,
200,4,1,1989,1989,1,1991,2023,28,29,"1990, 1992, 1997, 2001, 2007, 2012"
20,2,1,1925,1984,60,1985,2023,37,97,1990
2,1,1,1990,1997,8,1998,2016,18,26,
2,11,1,1930,2004,63,1997,2023,24,87,1993
2,13,1,1931,1995,48,1989,2023,30,78,
2,28,1,1930,1998,69,1999,2023,25,94,
2,32,1,1917,1991,55,1987,2023,34,89,1995
2,61,1,,,0,1998,2023,22,22,
2,142,1,1917,1999,81,2000,2023,23,104,2013
2,235,1,,,0,1998,2023,25,25,
2,265,1,1991,1998,6,1999,2023,23,29,"2002, 2011"
2,267,1,1962,1997,34,1999,2023,25,59,
2,268,1,1934,1985,50,1986,2023,29,79,"1996, 1997, 1998"
2,275,1,1967,1996,22,1986,2023,28,50,"2005, 2006, 2012, 2014"
2,279,1,1987,1994,4,1967,2023,45,49,"1997, 1998"
2,280,1,1967,1985,19,1986,2023,31,50,
2,287,1,,,0,1967,2003,31,31,
2,290,1,1967,1985,19,1986,2023,38,57,
2,291,1,1967,1985,18,1988,2023,35,53,2010
2,323,1,,,0,1971,2023,48,48,"1982, 1983, 1984, 2007"
2,329,1,1987,1987,1,1971,2001,28,29,1996
2,415,1,1976,1999,14,1987,2023,21,35,"1993, 1994, 1996, 2000"
2,439,1,1984,1993,5,1998,2023,26,31,
2,451,1,1989,1999,11,2000,2023,22,33,2010
2,457,1,1996,1998,2,1999,2023,19,21,2012
2,463,1,,,0,1987,2023,32,32,"1988, 1992, 2013"
2,464,1,,,0,1987,2023,33,33,
2,479,1,,,0,1998,2023,25,25,
2,607,1,1981,1994,9,1999,2023,24,33,1997
2,614,1,1946,1985,40,1986,2017,30,70,1998
2,616,1,1990,1997,3,1978,2023,40,43,1993
2,633,1,1981,1997,11,1998,2023,24,35,2010
2,634,1,1993,2000,7,2001,2023,23,30,
203,2,1,,,0,1989,2023,34,34,2011
206,3,2,,,0,1972,2023,45,45,"1978, 1981, 1993, 1995, 1996, 2004"
208,2,1,1956,1985,30,1988,2023,34,64,2011
208,3,1,1982,1984,3,1985,2023,38,41,
21,47,1,1976,1986,3,1974,2023,36,39,2012
212,11,1,1972,1978,7,1986,2023,36,43,
212,48,1,,,0,1991,2023,32,32,
212,49,1,1967,1992,22,1993,2023,30,52,2002
213,2,1,1962,1989,14,1981,2023,35,49,"1993, 1997, 2005, 2010"
213,4,1,1984,1995,5,1980,2023,37,42,
22,16,1,1952,1996,39,1986,2023,30,69,2007
22,22,1,,,0,1974,2023,48,48,1979
234,4,1,1961,1969,9,1970,1986,14,23,"1976, 1977, 1983"
234,13,1,,,0,1990,2023,34,34,
234,18,1,,,0,1992,2023,32,32,
237,1,1,,,0,1981,2023,33,33,"1986, 1996, 2007"
24,8,1,1980,1992,2,1981,2023,40,42,
24,9,1,1923,1994,72,1995,2023,29,101,
244,2,1,1912,1987,68,1985,2023,37,105,2011
246,9,1,1963,1987,23,1985,2023,37,60,
25,24,1,1972,1986,12,1987,2023,31,43,
25,30,1,1971,2006,18,1987,2018,29,47,
26,20,1,,,0,1971,2023,46,46,2009
26,21,1,1985,1985,1,1971,2010,38,39,
26,29,1,,,0,1978,2023,43,43,
26,64,1,,,0,1997,2023,22,22,"2001, 2009, 2011"
27,15,1,,,0,1986,2023,31,31,"1988, 1992, 1993, 1994, 1995"
27,16,1,,,0,1987,2023,32,32,"1991, 2004"
27,25,1,1988,1988,1,1983,2022,35,36,"1992, 2002"
28,7,1,1919,1984,66,1986,2023,38,104,
3,11,1,1970,1973,2,1952,1972,19,21,
3,22,1,,,0,1977,2023,44,44,"1984, 1987"
307,5,1,1926,1988,63,1989,2023,35,98,
307,14,1,,,0,1960,2023,25,25,"1972, 1982"
308,1,1,1926,1988,63,1989,2023,34,97,
311,4,1,1909,1989,76,1987,2023,33,109,"1997, 1998"
311,6,1,1909,1985,77,1987,2023,35,112,
311,460,1,1912,1989,55,1988,2023,30,85,1995
33,10,1,,,0,1991,2023,26,26,"2005, 2009"
35,9,1,,,0,1983,2023,35,35,2010
35,16,1,1992,1992,1,1991,2023,32,33,
36,13,1,,,0,1975,2023,44,44,
36,32,1,1986,1989,4,1993,2023,29,33,
37,27,1,,,0,1996,2023,24,24,"2005, 2011"
38,1,1,1983,1985,3,1986,2022,35,38,
39,1,1,1996,1996,1,1975,2023,44,45,"2003, 2010"
41,1,1,1913,1985,73,1986,2023,38,111,
42,2,1,1977,1977,1,1964,2022,51,52,2005
42,16,1,,,0,1998,2022,22,22,"2001, 2007"
46,9,1,,,0,1981,2022,32,32,"1995, 2003, 2007, 2011"
